ProjectId,ProjectNumber,ProjectName,ProjectCreatedOn,ProjectStatus,FacilityName,City,County,TypeOfWork,EstimatedCost,DataVersionId,EstimatedStartDate,EstimatedEndDate,URL
37dfbbf7-c324-4c7b-bc1a-ea01b24386d8,TABS2024019374,En Fuego McKinney,2024-05-24T15:54:40.367,3008,HUB 121 LLC,1107,2043,9002,450000.0,900001,2024-06-24T00:00:00,2024-09-27T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024019374
fb1f0d22-33ca-4b4e-a16b-3117b077d791,TABS2024019370,Children's Hunger Fund,2024-05-24T15:42:33.363,3008,Children's Hunger Fund,1408,2043,9001,27000000.0,900001,2024-08-01T00:00:00,2025-10-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024019370
692c2ba4-4b69-4985-9822-0a36207f6997,TABS2024019361,Main Street (1st Street to North County Road),2024-05-24T14:58:34.517,3008,"Sidewalks along Main Street & Traffic Signals at 4th Street, 5th Street, and North County Road Inte",623,2043,9002,1520256.0,900001,2024-06-01T00:00:00,2025-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024019361
0d77aa5b-3d7a-48bd-82ca-7d57601caf51,TABS2024019359,Fire Bowl Cafe,2024-05-24T14:55:16.983,3008,Shops at Fort Buckner,1107,2043,9002,425000.0,900001,2024-07-08T00:00:00,2024-09-09T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024019359
896ae6e1-5f1d-416e-8b54-9d951eea6574,TABS2024019325,Markel Plano,2024-05-24T11:27:35.693,3008,Granite Park 3,1362,2043,9002,900000.0,900001,2024-06-20T00:00:00,2024-11-22T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024019325
65ef931c-30a6-46fa-bb05-f3c3c35428f7,TABS2024019321,PAGODA ASIAN GRILL - EXTERIOR,2024-05-24T11:10:54.847,3008,PAGODA ASIAN GRILL,1107,2043,9002,90000.0,900001,2024-05-31T00:00:00,2024-06-14T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024019321
22974c9f-d8e9-42c4-8833-26e891525085,TABS2024019318,The Bays,2024-05-24T10:46:04.407,3008,The Bays Frisco,623,2043,9001,35000000.0,900001,2024-05-24T00:00:00,2025-10-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024019318
daeb1595-4220-4087-a0e1-7cf8f9535eaa,TABS2024019317,Autism Response Team: ART,2024-05-24T10:43:11.033,3008,Autism Response Team: ART,1107,2043,9002,512000.0,900001,2024-07-21T00:00:00,2025-01-21T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024019317
db94874f-02a3-431f-9c32-390f662aac1b,TABS2024019298,2701 W Plano Pkwy office Remodel,2024-05-24T07:53:54.997,3008,2701 W. Plano Pkwy,1362,2043,9002,100000.0,900001,2024-06-10T00:00:00,2024-11-29T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024019298
0894a8ba-21b4-494f-be72-beb92d4de39e,TABS2024019278,Cowboys Club and DCC Office Expansion,2024-05-23T16:20:27.79,3008,The Star,623,2043,9002,200000.0,900001,2024-05-20T00:00:00,2024-06-17T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024019278
a9d2be5b-5812-4ebc-bfd6-5193cdcf66eb,TABS2024019264,Commons at Lake Forest,2024-05-23T15:23:39.893,3008,Commons at Lake Forest,1107,2043,9001,4768000.0,900001,2024-12-02T00:00:00,2025-05-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024019264
