project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
WashMasters Car Wash,TABS2024023471,WashMasters Car Wash,"6912 Independence Pkwy, Plano, TX 75023",Collin,7/20/2024,12/20/2024,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A Remodel car wash  4,930 sf","4,930 ft 2",Rahmoha LLC,"105 YMCA Dr, Waxahachie, Texas 75165",(469) 517-2082,A Plus Design Group,"2653 Sagebrush Dr. #200, Flower Mound, Texas 75028",(972) 724-4440,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023471,
Celebree School,TABS2024023470,Plano Business Park-Building #5,"403 E. Plano Parkway, Plano, TX 75072",Collin,7/30/2024,12/31/2024,"$2,100,000",New Construction,"This project is privately funded, on private land for private use.","A new groundup Celebree School Childcare Center located within a business park and will be designed to coordinate with  similar architectural features of the surrounding buildings. The area is approx +/-11,300 square ft.","11,300 ft 2",IMAD Inc,"22 Lochleven, Richardson, Texas 75082",972-972-7797,"BergmannAssociates,Architects,Engs,LA & Srvy P.C.","300 Tice Blvd, Ste 101, Woodcliff, New Jersey 07677",512 240 9970,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023470,
Elevon Section 2 Amenity Center,TABS2024023464,Elevon Section 2 Amenity Center,"850 Elevon Parkway, Lavon, TX 75173",Collin,7/29/2024,8/29/2025,"$7,000,000",New Construction,"This project is privately funded, on private land for private use.","Amenity Center with Clubhouse, swimming pool, cabanas restrooms, playground and trails","130,000 ft 2","MA Elevon 429, LLC","2121 Midway Road Suite 240, Carrollton, Texas 70006",(972) 715-6440,JBI Partners Inc.,"2121 Midway Road Suite 300, Carrollton, Texas 75006",(972) 738-0224,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023464,
Costco Wholesale - Allen,TABS2024023447,Fuel Facility,"TX  121 & Stacy Road, Allen, TX 75013",Collin,10/1/2024,6/30/2025,"$5,000,000",New Construction,"This project is privately funded, on private land for private use.","Scope of work is new construction metal canopy fuel facility with 5x3 pump layout totaling 11,655 SF with a separate 189 SF controller kiosk.","11,655 ft 2",Costco Warehouse,"999 Lake Drive, Issaquah, Washington 98027",(425) 416-2617,Ware Malcomb,"3090 Nowitzki Way Suite 300, Dallas, Texas 75219",(281) 661-4790,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023447,
Costco Wholesale - Allen,TABS2024023442,Warehouse,"TX  121 & Stacy Road, Allen, TX 75013",Collin,10/1/2024,6/30/2025,"$25,000,000",New Construction,"This project is privately funded, on private land for private use.","Scope of work is new construction pre-engineered metal building with metal panel and masonry exterior envelope. Building is 160,000 square feet mercantile use","160,000 ft 2",Costco Warehouse,"999 Lake Drive, Issaquah, Washington 98027",(425) 416-2617,Ware Malcomb,"3090 Nowitzki Way Suite 300, Dallas, Texas 75219",(281) 661-4790,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023442,
Onward Community Church - Student,TABS2024023420,Onward Community Church,"4659 Coit Road, Frisco, TX 75035",Collin,8/1/2024,12/1/2024,"$500,000",New Construction,"This project is privately funded, on private land for private use.","2 new prefabricated buildings on existing site (3444 s.f. & 3381 s.f.). Grade prep, landscape irrigation, fire lane ext., sidewalks, electrical, & building placement.","6,825 ft 2",Onward Community Church,"4659 Coit Road, Frisco, Texas 75035",(214) 304-2444,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023420,
Gymnastics Room Renovation,TABS2024023413,Carpenter Park Recreation Center,"6701 Coit Road, Plano, TX 75024",Collin,9/2/2024,12/16/2024,"$163,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Demo Gym equipment, windows & ceiling. Build walls to create two rooms. Replace ceiling & carpet. Relocate lights.","3,530 ft 2",City of Plano,"1520 Ave. K; Suite 250, Plano, Texas 75074",(469) 925-6862,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023413,
Custer Amenities,TABS2024023399,Custer Court,"501 George Bush Turnpike Suite 110-115, Richardson, TX 75080",Collin,8/1/2024,10/31/2024,"$299,960",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out of existing office space.,"4,649 ft 2","Custer Court Investors, LLC","14567 N. Outer 40 Drive Suite 500, Chesterfield, Missouri 63017",(314) 787-7099,Interprise Design,"14241 Dallas Pkwy Suite 260, Dallas, Texas 75254",(972) 385-3991,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023399,
Texoma Medical Center - Anna,TABS2024023377,Texoma Medical Center,"450 N Standridge Blvd. #205, Anna, TX 75409",Collin,8/1/2024,2/28/2025,"$550,000",New Construction,"This project is privately funded, on private land for private use.",Finish-out of a new lease space,"4,295 ft 2",Anna MOB Partners,"251 E Southlake Blvd., Southlake, Texas 76092",(817) 337-3433,Covenant Architecture,"106 E Church St., Weatherford, Texas 76086",(817) 565-9826,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023377,
Enfield Park Restroom Buildings and Ballfields Lighting Replacement,TABS2024023371,Enfield Park,"700 Legacy Drive, Plano, TX 75023",Collin,8/19/2024,2/14/2025,"$8,500,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Replacement of 2 existing restroom buildings along with replacement of existing ballfield lighting and adding soccer backstops.  Includes demolition, building construction, electrical and plumbing along with grading, paving, irrigation and sodding.  ","2,500 ft 2",City of Plano Parks and Recreation Department,"5901 Los Rios Road, Plano, Texas 75074",(972) 208-8138,"JBI Partners, Inc.","2121 Midway Road, Suite 300, Dallas, Texas 75006",(214) 912-5055,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023371,
