project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
Dreamscape Spa,TABS2025004701,Preston Frankford Crossing Shopping Center,"18101 Preston Rd Ste 203, Plano, TX 75252",Collin,12/2/2024,6/30/2025,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Commercial Interior Finish-Out work of a new Spa business in existing retail space and as-built building condition.,"1,969 ft 2","Frankford Square, LLC","P.O. Box 168746, Arlington, Texas 75016",(214)854-0338,You Chi,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004701,,,
Toyota Stadium Renovations,TABS2025004687,Toyota Stadium,"9200 World Cup Way Suite 202, Frisco, TX 75033",Collin,2/1/2025,3/3/2028,"$182,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Expansion of Toyota Stadium. Upgrades include a new canopy shade structure, clubs, suites, broadcast, and press working space.","130,000 ft 2",City of Frisco,"6101 Frisco Square Blvd, Frisco, Texas 75034",(972) 292-5103,John Wagner,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004687,"HKS, Inc","350 N. Saint Paul Street Suite 100, Dallas, Texas 75201",(214) 969-5599
Plano East – Sidewalk Expansion,TABS2025004666,Legacy Corporate Center,"5543 LEGACY DR., Plano, TX 75024",Collin,12/9/2024,5/12/2025,"$250,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Sidewalk Expansion between properties 5543 & 5601 Legacy Dr.,600 ft 2,USAA,"5543 Legacy Dr., plano, Texas 75024",(210) 262-0678,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004666,PDR corp,"2 Houston Center 909 Fannin St Floor 39, Houston / Texas, Texas 77010",(713) 739-9050
Armor Brewing Pickleball Courts,TABS2025004659,Armor Brewing,"9 Prestige Circle, Allen, TX 75002",Collin,11/11/2024,5/12/2025,"$350,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Add new enclosed storage area and new pickleball courts to existing building site.,"1,000 ft 2","Armor Holdings, LLC","9 Prestige Circle, Allen, Texas 75002",(903) 267-1034,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004659,Civitarese|Morgan+Architecture,"3341 Regent Blvd. 130-321, Irving, Utah 75063",(214) 893-3188
TMO - Frisco 2 Security Upgrades 2.0 - Revolving Doors,TABS2025004658,Frisco II,"3560 Dallas Parkway, Frisco, TX 75034",Collin,12/1/2024,4/1/2025,"$440,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",New revolving doors to entry of space ,434 ft 2,Parkway Admin Blg LLC HTA - Dallas,"16435 N Scottsdale Rd Suite 320, Scottsdale, Arizona 85254",(214) 668-9899,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004658,The idGROUP LLC,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800
"Fishtrap Rd Reconstruction, Segment 5 (from Stuber Elementary School to Dallas North Tollway)",TABS2025004573,Fishtrap Road Segment 5,"Fishtrap Road to Dallas North Tollway, Prosper, TX 75078",Collin,6/26/2023,1/31/2025,"$26,500,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Construct 7800 LF of Fishtrap Rd. from PISD Stuber Elementary School east to Dallas North Tollway and 750 LF of 2 Northbound lanes of Legacy Dr. North from Fishtrap Rd Intersection.,"8,550 ft 2",Town of Prosper,"250 West First Street, Prosper, Texas 75078",(972) 569-1107,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004573,"Teague Nall and Perkins, Inc","825 Watters Creek Blvd, Ste M300, Allen, Texas 75013",214-988-9963
Frisco II - Turnstiles,TABS2025004571,Frisco II,"3560 Dallas Parkway, Frisco, TX 75034",Collin,11/30/2024,1/30/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Replacement of Turnstiles (1 for 1) and adding new interior glazing,526 ft 2,Parkway Admin Blg LLC HTA - Dallas,"16435 N Scottsdale Rd Suite 320, Scottsdale, Arizona 75243",(214) 668-9899,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004571,The idGROUP LLC,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800
Databank Plano DFW-3: Building Connection,TABS2025004569,Databank DFW-3,"8375 Dominion Pkwy, Plano, TX 75024",Collin,11/11/2024,7/1/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",SELECTIVE DEMOLITION OF THE EXISTING  DATABANK DFW-3 BUILDING TO ALLOW INTERCONNECTION BETWEEN THE EXISTING DFW-3 AND THE NEW  CONSTRUCTION PROJECT DFW-3B ON THE FIRST FLOOR. NEW WALLS AND DOORS ARE ADDED TO SATISFY EGRESS  REQUIREMENTS.,"1,000 ft 2",Databank,"400 South Akard St. Suite 100, Dallas, Texas 75202",(662) 422-4747,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004569,,,
204-205 P1 Motorwerks,TABS2025004554,Oak Point Plaza,"5025 K Avenue, Suite 204-205, Plano, TX 75074",Collin,12/1/2024,3/1/2025,"$138,797",New Construction,"This project is privately funded, on private land for private use.",1st-time commercial finish out in a newly constructed shell building,"2,700 ft 2","Oak Point Plaza I, LLC","PO Box 427, Addison, Texas 75001",(972) 239-1324,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004554,,,
Handels Ice Cream,TABS2025004489,Handels Ice Cream,"201 W Frontier Pkwy #50, Prosper, TX 75078",Collin,11/15/2024,2/15/2025,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",GC & MEP fitout renovations,"2,010 ft 2","Lucky 7 Retail 4, LLC","2911 Turtle Creek Blvd # 200, Prosper, Texas 75219",972-707-9555,Mike Davis,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004489,SDA Architects P.C.,"2427 Ransom Rd., Ransom, Pennsylvania 18411",570-499-6341
WEIMEI Med Spa,TABS2025004482,WEIMEI Med Spa,"4666 McDermott Road, Suite 200, Plano, TX 75082",Collin,11/8/2024,12/31/2024,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel Interior ,"2,867 ft 2",WEIMEI Med Spa,"4666 McDermott Road, Plano, Texas 75024",(214) 693-4805,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004482,,,
ISA Remodel at 3320 Matrix,TABS2025004465,3320 Matrix Building,"3320 Matrix Drive, Richardson, TX 75082",Collin,12/2/2024,2/14/2025,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",This is an interior office remodel in an existing building. ,"17,745 ft 2",EQT Exeter,"16633 North Dallas Parkway Suite 280, Addison, Texas 75001",(214) 288-1489,Dwain Smith,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004465,Space Planning Specialists LLC,"906 Cottonwood Way, Josephine, Texas 75189",(972) 414-9391
The Row,TABS2025004437,The Row,"6290 McKinney Ranch Pkwy., Mckinney, TX 75070",Collin,12/2/2024,5/29/2026,"$620,000",New Construction,"This project is privately funded, on private land for private use.",New Construction cold dark shell office building.,"5,797 ft 2","Ecbatana Series, LLC. The Row","4021 Bryn Mawr Dr., Dallas, Texas 75225",(214) 444-4710,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004437,"GSO Architects, Inc.","5310 Harvest Hill Rd. Suite 226 LB. 156, Dallas, Texas 75230",(972) 385-9651
Texas DS Beauty School,TABS2025004423,Windmill Hill Office Park,"170 S Preston Rd Ste30, Prosper, TX 75078",Collin,11/11/2024,2/1/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Office finish-out from the shell condition.,"3,380 ft 2",Chaojun Zhan,"15133 blakehill drive Blakehill dr, Plano, Texas 75035",(972) 292-0870,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004423,,,
ZAZA THAI,TABS2025004420,COIT MARKETPLACE,"HWY 121 @ COIT RD #STE. 103, Plano, TX 75025",Collin,11/1/2024,3/1/2025,"$120,000",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"2,000 ft 2",UNITED COMMERCIAL DEVELOPMENT,"7001 PRESTON RD #STE. 140, PLANO, Texas 75205",(214) 533-5225,PHU NGUYEN,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004420,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 76063",(682) 583-0921
Encore Wire Service Center Expansion,TABS2025004416,Encore Wire Service Center,"990 South Airport Road, Mckinney, TX 75069",Collin,1/1/2025,2/20/2026,"$20,000,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","A 189,000 SF addition to an existing warehouse and distribution center for Encore Wire Corporation.","189,000 ft 2",Mike Kammerdiener,"1329 Millwood Rd, McKinney, Texas 75069",(972) 562-9473,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004416,Merriman Anderson Architects Inc.,"300 N. Field St, Dallas, Texas 75202",214.347.7074
Manhattan Beauty Project,TABS2025004401,Light Farms,"1470 W FRONTIER PARKWAY, Prosper, TX 75078",Collin,12/1/2024,3/1/2025,"$581,800",New Construction,"This project is privately funded, on private land for private use.","Tenant finish out of 2900 SF Med Spa including two treatment rooms, three exam rooms, and various business admin spaces. ","2,909 ft 2",Dr. Christina Pantazopoulos,"31546 Railroad Canyon Road Unit B, Canyon Lake, California 92857",(951) 394-6588,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004401,Modus Architecture,"4040 N Central Expy Suite 720, Dallas, Texas 75204",(314) 302-6864
Sloan Corners Retail 1 & 2,TABS2025004393,Sloan Corners Retail 1 & 2,"823 Waverly Dr., Allen, TX 75013",Collin,1/27/2025,9/29/2025,"$5,000,000",New Construction,"This project is privately funded, on private land for private use.","New construction of two (2) shell buildings for retail and restaurant with each having its own respective patio. 20,160sqft","20,160 ft 2",Billingsley Company,"1722 Routh Street Suite 770, Dallas, Texas 75201",(214) 270-0950,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004393,O'Brien Architects,"1722 Routh St. Suite 122, Dallas, Texas 75201",(972) 788-1010
"DANG, VU",TABS2025004381,BLUE LAKE DENTAL,"9401 W. UNIVERSITY DR. SUITE 110, Mckinney, TX 75071",Collin,11/19/2024,2/27/2025,"$308,800",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT FOR DENTAL OFFICE ,"2,000 ft 2","SCSD-FINNELL, LTD.","14114 DALLAS PKWY SUITE 670, DALLAS, Texas 75254",214-483-0400,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004381,,,
Melissa Wellness Village - Tenant 3 Shell,TABS2025004372,Melissa Wellness Village,"3031 Washington Drive, Melissa, TX 75254",Collin,11/1/2024,1/1/2025,"$50,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","THE SCOPE OF THIS PROJECT IS TO ADD AN ENTRY DOOR INTO AN EXISTING SHELL SPACE OF THE MELISSA WELLNESS VILLAGE BUILDING. ACCESS SIDEWALK, EGRESS SIGNAGE, LIGHTING, FREEZE PROTECTION AND OTHER ACCOMMODATIONS ARE SPECIFIED FOR THIS UNOCCUPIED SHELL ","1,218 ft 2",Melissa Wellness Village LLC,"3041 Washington Dr, Melissa, Texas 75454",(256) 428-0060,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004372,GHC Architects,"501 Government St. #200, Baton Rouge, Louisiana 70802",(214) 378-9810
Isabel Batres-Beavers,TABS2025004355,Shops at Legacy,"7140 Bishop Rd. Suite F-3 and F-4, Plano, TX 75024",Collin,12/9/2024,3/10/2025,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Remodel of a beauty spa.,"1,526 ft 2",Mid America Apartments LP,"4401 Northside Pkwy NW #600, Atlanta, Georgia 30327",404-846-4473,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004355,,,
Plano ISD Haggard MS,TABS2025004340,Plano ISD Haggard MS,"Independence Pkwy & Parkhaven Dr., Plano, TX 75075",Collin,3/1/2025,7/31/2026,"$90,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","New 2 & 3 story wing middle school with library, cafeteria, & 2 gymnasiums","190,000 ft 2",Plano ISD,"2700 W. 15th Street, Plano, Texas 75075",469-752-8100,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004340,VLK Architects Inc,"5801 Tennyson Pkwy #100, Plano, Texas 75024",(972) 265-1885
BGREA Flex Office,TABS2025004333,Mustang Park Bldg E-1,"3720 FM1385 & COUNTYVIEW DRIVE, Aubrey, TX 76227",Collin,12/1/2024,5/1/2025,"$350,000",New Construction,"This project is privately funded, on private land for private use.",Bulding Shell,"5,000 ft 2",BG-GBT BROADWAY & PRESTON LP,"9550 John W Elliot Drive, Ste. 106, Frisco, Texas 75034",(972) 347-9900,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004333,Abaya Design Studio,"215 S. Denton Tap Road Suite # 215 Suite # 215, Coppell, Texas 75019",(214) 606-0951
BGREA Flex Office,TABS2025004330,Mustang Park Bldg C-1,"3710 FM 1385 & Countyview Drive, Aubrey, TX 76227",Collin,12/1/2024,5/1/2025,"$350,000",New Construction,"This project is privately funded, on private land for private use.",Building Shell,"6,250 ft 2",BG-GBT BROADWAY & PRESTON LP,"9550 John W Elliot Drive, Ste. 106, Frisco, Texas 75034",(972) 347-9900,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004330,Abaya Design Studio,"215 S. Denton Tap Road Suite # 215 Suite # 215, Coppell, Texas 75019",(214) 606-0951
