project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Leasing Office and Co Work area remodel,TABS2025016504,Gateway Village Apartments,"380 vista Court d4, Plano, TX 75074",Collin,4/16/2025,6/11/2025,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel the lobby and maintenance office,600 ft 2,Bell Partners,"380 vista Court d4 ste 130, Plano, Texas 75074",(469) 387-7227,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016504,,,,
Trader Joe's #410 - McKinney,TABS2025016478,8101 Eldorado,"8101 Eldorado Parkway, Mckinney, TX 75070",Collin,8/4/2025,12/4/2025,"$900,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior tenant remodel for grocery store.,"13,303 ft 2",SLX Capital,"5830 Granite Pkwy Suite 100-215, Plano, Texas 75024",(214) 907-5356,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016478,Kip Klayton Architects,"321 N Rampart St, Orange, California 92868",(714) 883-7715,
PEPPERMINT,TABS2025016474,PEPPERMINT DENTAL & ORTHODONTICS,"1739 N. CENTRAL EXPY. SUITE 100, Mckinney, TX 75070",Collin,5/1/2025,7/30/2025,"$282,309",Renovation/Alteration,"This project is privately funded, on private land for private use.",EXPANSION OF EXISTING DENTAL OFFICE ,"1,768 ft 2","SILVERSTONE VENTURE CAPITAL, LLC","P.O BOX 2226, FRISCO, Texas 75034",469-231-6565,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016474,,,,
"Plano Gateway - Building 1, Suite 110",TABS2025016469,Plano Gateway MOB,"201 Wyngate Blvd. Building 1, Suite 110, Plano, TX 75074",Collin,5/19/2025,8/29/2025,"$750,000",New Construction,"This project is privately funded, on private land for private use.","4,800 SF tenant finish-out of a future 1-story wood framed medical office building","4,800 ft 2",Huffman Builders,"5880 Ashmill Dr. Suite 100, Plano, Texas 75024",(469) 951-5959,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016469,Boulder Associates Architects,"5646 Milton Street Suite 240, Dallas, Texas 75206",(214) 420-5700,
110 N Main,TABS2025016438,110 N Main,"110 N Main Street, Farmersville, TX 75422",Collin,7/1/2025,3/1/2026,"$150,000",New Construction,"This project is privately funded, on private land for private use.",Remodel of existing building to create a shell retail space for future tenants,"12,000 ft 2",Elliot Galynsky,"4829 Winnetka Ave, Woodland Hills, California 91364",818-341-2550,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016438,Rawls Culver Architects,"901 North McDonald Street Suite 203, McKinney, Texas 75069",(972) 529-9790,
Josephine Suites,TABS2025016408,Darquea Suites,"601 Main St., Josephine, TX 75173",Collin,3/6/2024,10/3/2025,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovated building into 5 suites. New plumbing, New exterior, replaced rotted wood, New electrical and will have mini splits for HVAC","4,000 ft 2",Alejandro Darquea,"310 Callie Ct., Wylie, Texas 75098",(214) 684-8053,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016408,,,,
Sam's Club 4743-1009,TABS2025016392,Sam's Club,"1200 E. Spring Creek Pkwy, Plano, TX 75074",Collin,6/4/2025,9/11/2025,"$1,200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel refresh to existing Sam's club store. Updating fixtures, paint, lighting & floor areas. 154,446sf","154,446 ft 2",Sam's Real Estate Business Trust,"2101 SE Simple Savings Dr, Bentonville, Arkansas 72716",(479) 644-5695,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016392,"Benchmark Group, Inc.","1805 N 2nd Street, Rogers, Arkansas 72756",(479) 636-5004,
Vivo Infusion McKinney,TABS2025016372,Freedom Health Centers,"2709 VIRGINIA PARKWAY, SUITE 1, Mckinney, TX 75069",Collin,5/20/2025,8/20/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","INTERIOR RENOVATION OF EXISTING OFFICE SUITE INCLUDING NEW PARTITIONS, FINISHES, FURNITURE, AND MECHANICAL, ELECTRICAL, AND PLUMBING WORK TO ACCOMMODATE NEW LAYOUT.","2,664 ft 2",Parker Adkins,"3401 Mallory Lane, Suite 100, Franklin, Tennessee 37067",(803) 606-1325,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016372,HSB Architects + Engineers,"1250 Old River Road, Suite 201, Cleveland, Ohio 44113",(216) 644-7898,
Image Studios,TABS2025016369,State Farm Phase II,"1415 State Street #100, Richardson, TX 75082",Collin,6/1/2025,9/1/2025,"$750,000",New Construction,"This project is privately funded, on private land for private use.",Tenant finish-out of existing suite to become a hair salon,"7,375 ft 2",Transwestern,"2301 W Plano Pkwy # 108, Plano, Texas 75075",(972) 739-5085,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016369,"708 Studios, LLC","5000 eldorado parkway #150, Frisco, Texas 75033",(214) 789-6196,
Oak & Opal Salon,TABS2025016367,9090 1st St,"9090 1st street, Frisco, TX 75034",Collin,6/1/2025,9/1/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish-out of building to become a hair salon.,"1,890 ft 2",Pillar Commercial,"900 W. Bethany Drive Suite 110, allen, Texas 75013",972.437.2444,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016367,"708 Studios, LLC","5000 eldorado parkway suite 150, Frisco, Texas 75033",(214) 789-6196,
