project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Walmart Store 3574-218 Remodel,TABS2026010305,"WAL MART NEIGHBORHOOD MARKET (CAL), BLK A LOT 1A: REPLAT","1520 E Exchange Pkwy, Allen, TX 75002",Collin,8/2/2026,11/5/2026,"$2,100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","CLEAN, PREP AND PAINT EXTERIOR SURFACES, INTERIOR WALLS ENTRY VESTIBULE. ADD CUSTOMER SERVICE AND PICKUP STORAGE. REMODEL, INSTALL PHARMACY, BREAKROOM AND GROCERY.","8,884 ft 2",WAL-MART REAL ESTATE BUS TRUST,"C/O PROP TAX DEPT. MS 0555 PO BOX 8050, Bentonville, Arkansas 72712",479-277-8735,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010305,,,,
"McKinney, TX - Eldorado Pkwy",TABS2026010264,FedEx Office,"2107 Eldorado Pkwy, Suite 108, Mckinney, TX 75070",Collin,4/20/2026,5/1/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Refresh of existing FedEx Office, including new finishes, new fixtures/furniture, and new equipment. ","2,071 ft 2",Parkway 2107,"1650 W Virginia St. Suite 102, McKinney, Texas 75069",(972) 977-5389,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010264,Molly Westfall,"idGROUP, LLC","2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800
TotalCare FEMC - Allen,TABS2026010243,TotalCare FEMC - Allen,"1836 E. Bethany Dr., Allen, TX 75002",Collin,3/30/2026,10/30/2026,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","RENOVATION OF A 6,740 SQUARE FOOT FREESTANDING EMERGENCY MEDICAL CARE FACILITY IN AN EXISTING SINGLE STORY MEDICAL OFFICE BUILDING. SPACES INCLUDE PATIENT WATING, RECEPTION, EXAM ROOMS, NURSES STATION, IMAGING ROOMS, LAB, PHYSICIANS SUITE, OFFICES,","6,740 ft 2",Golden Mesa,"6049 S Hulen St., Fort Worth, Texas 76132",(682) 207-1335,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010243,,,,
THE CUT STUDIO,TABS2026010237,ELDORADO RETAIL,"1000 W ELDORADO PKWY, Mckinney, TX 75068",Collin,3/1/2026,7/31/2026,"$80,000",New Construction,"This project is privately funded, on private land for private use.",interior remodel ,"1,402 ft 2",ELDORADO RETAIL LLC,"4433 PUNJAB WAY #STE. 301, FRISCO, Texas 75033",(469) 536-8695,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010237,,CORINTHIAN DESIGN ASSOCIATES LLC,"10420 AMBERGATE LN, FRISCO, Texas 75035",(214) 223-4501
Arterial Concrete Repair - Park Boulevard - Preston Road to Independence Parkway,TABS2026010235,PW-S-00028,"MULTIPLE LOCATIONS, Plano, TX 75075",Collin,6/1/2026,12/31/2027,"$142,375",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",10500SQFT SIDEWALK AND 35 BFR,"10,500 ft 2",CITY OF PLANO,"625 DIGITAL DR, PLANO, Texas 75075",(972) 769-4140,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010235,,CITY OF PLANO,"625 DIGITAL DR, PLANO, Texas 75075",(972) 769-4140
THE OFFICES AT PRESTONBROOK #904,TABS2026010234,THE OFFICES AT PRESTONBROOK,"7700 PRESTON RD, Frisco, TX 75034",Collin,2/1/2026,8/1/2026,"$75,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"1,122 ft 2",CLE-FRISCO 1 LLC,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010234,,NOVE STUDIOS LLC,"1721 W PLANO PKWY #STE. 218, PLANO, Texas 75075",(214) 814-1178
THE OFFICES AT PRESTONBROOK #903,TABS2026010233,THE OFFICES AT PRESTONBROOK,"7700 PRESTON RD, Frisco, TX 75034",Collin,2/1/2026,8/1/2026,"$75,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"1,122 ft 2",CLE-FRISCO 1 LLC,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010233,,NOVE STUDIOS LLC,"1721 W PLANO PKWY #STE. 218, PLANO, Texas 75075",(214) 814-1178
THE OFFICES AT PRESTONBROOK #902,TABS2026010232,THE OFFICES AT PRESTONBROOK,"7700 PRESTON RD, Frisco, TX 75034",Collin,2/1/2026,8/1/2026,"$75,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"1,122 ft 2",CLE-FRISCO 1 LLC,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010232,,NOVE STUDIOS LLC,"1721 W PLANO PKWY #STE. 218, PLANO, Texas 75075",(214) 814-1178
THE OFFICES AT PRESTONBROOK #901,TABS2026010231,THE OFFICES AT PRESTONBROOK,"7700 PRESTON RD, Frisco, TX 75034",Collin,2/1/2026,8/1/2026,"$75,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"1,122 ft 2",CLE-FRISCO 1 LLC,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010231,,NOVE STUDIOS LLC,"1721 W PLANO PKWY #STE. 218, PLANO, Texas 75075",(214) 814-1178
THE OFFICES AT PRESTONBROOK 9 SHELL,TABS2026010230,THE OFFICES AT PRESTONBROOK,"7700 PRESTON RD, Frisco, TX 75034",Collin,2/1/2026,8/1/2026,"$350,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"3,359 ft 2",CLE-FRISCO 1 LLC,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010230,,NOVE STUDIOS LLC,"1721 W PLANO PKWY #STE. 218, PLANO, Texas 75075",(214) 814-1178
