ProjectNumber,FacilityName,City,County,TypeOfWork,EstimatedCost,ProjectStatus,ProjectId,DataVersionId,ProjectName,ProjectCreatedOn,EstimatedStartDate,EstimatedEndDate,URL
TABS2026022785,Locke Ranch,1107,2043,9001,95000.0,3008,8f1f9cca-da0d-4476-b537-ecb5a50ba1b7,900001,Locke Ranch,2026-06-12T17:29:25.203,2026-10-05T00:00:00,2027-07-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022785
TABS2026022769,Tractor Supply Co,286,2043,9002,180000.0,3008,04d784ef-ea52-4f8f-8e69-523661ebe93a,900001,TSC Celina Fusion,2026-06-12T14:47:47.917,2026-10-12T00:00:00,2026-11-13T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022769
TABS2026022753,Firehouse Subs,286,2043,9002,350000.0,3008,5d516ec6-f64e-4bd5-8621-9c1a50a8b556,900001,Firehouse Subs Celina,2026-06-12T13:34:34.467,2026-09-01T00:00:00,2026-11-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022753
TABS2026022748,Headquarters Village,1362,2043,9002,150000.0,3008,85d66f5f-8107-425a-ad50-081a8b396be5,900001,iSense,2026-06-12T12:46:31.017,2026-07-13T00:00:00,2026-08-28T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022748
TABS2026022725,"GATEWAY OFFICE PARK 3 - MCKINNEY, TX",1107,2043,9001,900000.0,3008,6d44e48c-719d-4e1c-adce-ddd1e0c3a34f,900001,"GATEWAY OFFICE PARK 3 - MCKINNEY, TX",2026-06-12T10:30:06.813,2026-10-01T00:00:00,2027-05-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022725
TABS2026022717,Oak Point Plaza,1362,2043,9001,124878.0,3008,d8fda8e7-743b-42dd-9c86-0afb82fb3505,900001,108 Magic Auto Tint & Detail,2026-06-12T09:36:22.83,2026-07-01T00:00:00,2026-10-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022717
TABS2026022706,41241 7-Eleven,1362,2043,9002,100000.0,3008,7119819b-1f17-4f43-aefd-36496b29f592,900001,41241 7-Eleven Rev1,2026-06-12T05:32:36.267,2026-08-01T00:00:00,2026-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022706
TABS2026022705,33302 7-Eleven,1362,2043,9002,100000.0,3008,ac478ac6-8f43-4fd4-898f-e12a0a1feffd,900001,33302 7-Eleven Rev1,2026-06-12T05:19:03.043,2026-08-01T00:00:00,2026-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022705
TABS2026022704,34118 7-Eleven,1362,2043,9002,425000.0,3008,20e807f2-fb22-4da2-b1d6-6d9932aa9ce0,900001,34118 7-Eleven Rev1,2026-06-12T05:04:45.543,2026-08-01T00:00:00,2026-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022704
TABS2026022693,Richardson Innovation Center,1453,2043,9002,17000000.0,3008,87d51d36-3c2f-4cdd-8e00-9984d6f557a7,900001,Celestica Main Office and Warehouse,2026-06-11T18:11:45.74,2026-07-31T00:00:00,2026-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022693
