project_url,project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,tenant_name
https://www.tdlr.texas.gov/TABS/Account/Login?ReturnUrl=%2fTABS%2fError%3faspxerrorpath%3d%2fTABS%2fSearch%2fProject%2fTABS2024010751&aspxerrorpath=/TABS/Search/Project/TABS2024010751,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010737,Chick-fil-A #1808 Rowlett,TABS2024010737,Chick-fil-A Restaurant #3055 Raider Park,"2617 Lakeview Parkway, Rowlett, TX 75088",Dallas,8/8/2024,11/5/2024,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remove Existing Dumpster and replace with new refuse with storage area. Curb Modification to allow access for dumpster truck. ,340 ft 2,"Chick-fil-A, Inc","5200 Buffington Road, Atlanta, Georgia 30349",(407) 645-5008,Interplan LLC,"220 East Central Parkway, Suite 4000, Altamonte Springs, Florida 32701",(407) 645-5008,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010734,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010731,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010730,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010722,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010717,QTS DFW1 DC3 - Admin Security,TABS2024010717,QTS DFW1-DC3,"6351 Longhorn Dr, Irving, TX 75063",Dallas,2/15/2024,9/1/2024,"$5,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Infill of shell spaces with tenant programming (open office areas, huddle rooms, restrooms and lockers, storage, break room, etc). Includes finishes to floors, walls, and ceilings. ","17,437 ft 2","QUALITY INVESTMENT PROPERTIES IRVING, LLC","6431 Longhorn Dr, Irving, Texas 75063",214.304.1260,Corgan Associates,"401 N Houston, Dallas, Texas 75202",(214) 748-2000,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010713,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010710,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010696,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010677,Racetrac #144 Chiesa,TABS2024010677,Racetrac #144 Chiesa,"7401 Lakeview Pkwy, Rowlett, TX 75088",Dallas,3/4/2024,9/2/2024,"$225,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel of existing RaceTrac convenience store. Improvements to interior equipment/finishes,"4,935 ft 2",Caleb Rodgers,"200 Galleria Parkway SE Suite 900, Atlanta, Georgia 30339",(404) 556-0065,GPD Group Professional Corporation,"520 S. Main Street Suite 2531, Akron, Ohio 44311",678-781-5069,
