project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
4710 Military Pkwy,TABS2024011817,4710 Military Pkwy,"4710 Military Pkwy, Dallas, TX 75223",Dallas,3/1/2024,8/31/2024,"$60,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel 3860sf space,"3,860 ft 2",Jesus Balderas,"2815 Cumberland Dr., Mesquite, Texas 75150",(214) 881-6234,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011817,,,,
Starbucks - Hillcrest & McFarlin,TABS2024011813,Starbucks,"6407 HILLCREST AVE, Dallas, TX 75205",Dallas,5/28/2024,10/14/2024,"$280,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","WORK SHALL INCLUDE NEW FRONT ENTRANCE AND STOREFRONT, INTERIOR PARTITIONS, INTERIOR FINISHES, EQUIPMENT, LIGHTING, HVAC, PLUMBING, SIGNAGE, EXTERIOR GUARDRAIL","2,924 ft 2",CRESTVIEW COMPANIES,"12720 HILLCREST AVE, SUITE 650, DALLAS, TX 75230 SUITE 650, Dallas, Texas 75230",(214) 343-4477,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011813,Rogue Architects,"513 Main Street Suite 300, Fort Worth, Texas 76102",817-529-6882,
SCM,TABS2024011794,Lake Highlands Tower,"9330 LBJ Freeway Suite 500, Dallas, TX 75243",Dallas,2/1/2024,5/31/2024,"$1,275,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvements,"19,749 ft 2","Lake Highlands Tower, LLC","4143 Maple Avenue Suite 325, Dallas, Texas 75219",(214) 770-2888,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011794,ENTOS Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,
Brookhollow Business Center Building 2,TABS2024011784,Building 2,"1900 anson, Dallas, TX 75235",Dallas,9/1/2024,6/1/2025,"$7,935,917",New Construction,"This project is privately funded, on private land for private use.",Concrete Tilt Wall Warehouse - No Tenant,"105,314 ft 2",PPF/LO 1900 ANSON VENTURE LLC - A DELEWARE LIMITED LIABILITY COMPANY,"8111 douglas avenue, suite 600, dallas, Texas 75255",(214) 740-3300,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011784,alliance architects,"1600 north collins blvd. suite 1000, richardson, Texas 75080",(972) 233-0400,
Brookhollow Business Center Building 1,TABS2024011783,Building 1,"1900 Anson, Dallas, TX 75235",Dallas,9/1/2024,6/1/2025,"$15,618,741",New Construction,"This project is privately funded, on private land for private use.",Concrete Tilt Wall Warehouse - No Tenant,"206,863 ft 2",PPF/LO 1900 ANSON VENTURE LLC - A DELEWARE LIMITED LIABILITY COMPANY,"8111 Douglas Avenue, Suite 600, dallas, Texas 75255",(214) 740-3300,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011783,alliance architects,"1600 north collins blvd. suite 1000, richardson, Texas 75080",(972) 233-0400,
PAPPY'S CAR WASH GARLAND,TABS2024011779,PAPPY'S CAR WASH GARLAND,"4054 BOBTOWN ROAD, Garland, TX 75043",Dallas,5/1/2023,2/4/2025,"$2,400,000",New Construction,"This project is privately funded, on private land for private use.",NEW EXPRESS CAR WASH,"4,500 ft 2","PAPPY'S MC, LLC","2910 S. ERBY CAMPBELL BLVD, FATE, Texas 75189",(214) 697-1130,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011779,EDG Architects,"6825 Greenwich Lane, Dallas, Texas 75230",(214) 361-1934,
23305-Hamilton HQ (Bardin RD),TABS2024011775,Hamilton HQ,"2105 Bardin RD, Grand Prairie, TX 75052",Dallas,8/1/2024,4/1/2025,"$6,000,000",New Construction,"This project is privately funded, on private land for private use.",New Office HQ,"51,690 ft 2",Hamilton Peck,"401 E PALACE PKWY, SUITE 200, Grand Prairie, Texas 75050",972.877.8953,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011775,"Meinhardt & Associates Architects, P.L.L.C","14643 Dallas PKWY | STE 636, Dallas, Texas 75254",972.980.8980,
PSG Office / Warehouse,TABS2024011765,Project Services Group,"5166 Duncanville Road, Dallas, TX 75236",Dallas,5/1/2024,2/1/2025,"$8,500,000",New Construction,"This project is privately funded, on private land for private use.","Construction of one (1) Office / Whse bldg, fully sprinklered w/ an ESFR system, tilt-up concrete walls and steel roof.","100,100 ft 2","Project Services Group, Inc.","2040 Century Center Blvd. Suite 10, Irving, Texas 75062",(972) 812-7370,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011765,"Pross Design Group, Inc.","5310 Harvest Hill Road Suite 180, Dallas, Texas 75230",(972) 759-1400,
"Preston Hollow Allergy, PLLC",TABS2024011762,Rambler Park,"7557 Rambler Road, Dallas, TX 75231",Dallas,2/19/2024,10/1/2024,"$470,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"4,481 ft 2",IPXP Rambler Investors,"Ellis Preserve, 3843 West Chester Pike, Newtown Square, Pennsylvania 19073",(703) 621-2568,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011762,Entos Design,"5400 Lyndon B Johnson, Suite 125, Dallas, Texas 75240",(972) 700-2222,
TX Instruments Kilby West Renovation,TABS2024011758,Texas Instruments Kilby West,"13570 N Central Expy, Dallas, TX 75243",Dallas,7/1/2024,1/1/2027,"$119,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of an existing mixed use building.,"505,000 ft 2",Texas Instruments,"12500 TI Boulevard, Dallas, Texas 75243",(214) 479-0341,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011758,Gensler,"5005 Greenville Ave., Dallas, Texas 75206",(214) 273-1500,
Rosemont ES Phase 2,TABS2024011724,Rosemont Upper,"719 N. Montclair Ave, Dallas, TX 75208",Dallas,3/1/2024,6/1/2025,"$6,000,000",Additions to Existing Building,"This project involves public funds, public land, or is a Federally funded roadway project.","6 Classroom Addition and restrooms to an existing 3-8th grade Campus.  Approximately 8,400 SF","8,400 ft 2",Dallas Independent School District,"9400 North Central Expressway, Dallas, Texas 75231",(972) 835-0939,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011724,"WRA Architects, Inc.","12377 Merit Dr Suite 1800, Dallas, Texas 75251",(214) 750-0077,
Rodeo Goat Addison,TABS2024011720,Rodeo Goat,"14941 Midway Rd, Addison, TX 75001",Dallas,6/1/2024,12/31/2024,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish-out of existing shell space,"6,300 ft 2",Pasha Heidari,"15175 Quorum Dr, Addison, Texas 75201",214-598-2191,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011720,,,,Keith Schlabs
Premier Dallas Collision,TABS2024011718,Premier Dallas Collision,"4500 Langdon Rd, Dallas, TX 75421",Dallas,5/1/2024,8/1/2025,"$11,500,000",New Construction,"This project is privately funded, on private land for private use.",New Construction of PEMB and Tilt up Construction,"85,000 ft 2",Premier Truck Group,"4200 Port Blvd, Dallas, Texas 75421",(214) 504-8049,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011718,Fitzgerald and Associates,"3900 N. Santa Fe, Oklahoma City, Oklahoma 73118",(405) 521-8999,
EOS FITNESS ADDISON,TABS2024011715,EOS FITNESS ADDISON,"3854 BELT LINE RD., Addison, TX 75001",Dallas,3/11/2024,1/31/2025,"$4,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","FINISHES, FIXTURES, EQUIPENT, ETC ","42,414 ft 2",PORTFOLIO ADDISON TOWN,"3102 MAPLE AVE., STE. 500, DALLAS, Texas 75201",(214) 720-6607,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011715,LARSON DESIGN GROUP,"495 N. KELLER RD., STE. 101, MAITLAND, Florida 32751",(689) 710-0019,ARTHUR BABCOCK
"Wendy's - Coppell, TX",TABS2024011706,Wendy's,"821 S MacArthur, Coppell, TX 75019",Dallas,8/1/2024,8/31/2024,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel of an existing 3,127 sq ft Wendy's.","3,127 ft 2",916 Foods,"500 N Akard, Suite 2550, Dallas, Texas 75201",(214) 673-8551,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011706,Franz Architects,"4055 International Plaza, Suite 100, Fort Worth, Texas 76109",(817) 737-9922,
