project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
"5th Floor Spec Suite, Corr & Restrooms",TABS2024018272,Hall Street at the Centrum,"3625 North Hall Street 5th Floor, Dallas, TX 75219",Dallas,5/20/2024,8/20/2024,"$875,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remote of office space, main corridor and restrooms","11,189 ft 2",Western Securities,"2626 Howell Street Suite 850, Dallas, Texas 75204",(214) 871-9798,ENTOS Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",972770222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018272,
Speculative Suite 615,TABS2024018269,Hall Street at the Centrum,"3625 North Hall Street Suite 615, Dallas, TX 75219",Dallas,5/20/2024,8/12/2024,"$96,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel of office space,"1,152 ft 2",Western Securities,"2626 Howell Street Suite 850, Dallas, Texas 75204",(214) 871-9798,ENTOS Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",972770222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018269,
Speculative Suite 630,TABS2024018263,Hall Street at the Centrum,"3625 North Hall Street Suite 630, Dallas, TX 75219",Dallas,5/20/2024,8/5/2024,"$154,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",remodel of office space,"3,285 ft 2",Western Securities,"2626 Howell Street Suite 850, Dallas, Texas 75204",(214) 871-9798,ENTOS Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",972770222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018263,
413 Lancaster Townhomes,TABS2024018231,Lancaster Townhomes,"413 Lancaster Avenue, Dallas, TX 75203",Dallas,8/1/2024,10/1/2025,"$1,400,000",New Construction,"This project is privately funded, on private land for private use.","Seven three-story townhomes in a single building with affilitated vehicula access drive, sidewalks, and landscaping","13,200 ft 2",Wycliff Investments LLC,"13601 Preston Road #W810, Dallas, Texas 75240",(214) 727-7307,Parmadesign,"1712 Akard, Dallas, Texas 75215",(214) 769-0318,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018231,
Bare Dermatology Dallas,TABS2024018227,9201 Office Complex,"9201 North Central Expwy Suite 100, Dallas, TX 75231",Dallas,10/1/2024,4/1/2025,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Project is a renovation of existing corporate clinic suite into a new dermatology clinic.  ,"4,000 ft 2",MedCore,"12377 Merit Dr. Suite 500, Dallas, Texas 75251",(214) 347-8577,Modus Architecture,"4040 N. Central Expy. Suite 720, Dallas, Texas 75204",(314) 302-6864,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018227,
TORTAS LA HECHIZERA,TABS2024018219,GRANDE CENTER,"2610 N BELT LINE RD, Irving, TX 75062",Dallas,5/30/2024,7/31/2024,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",TENANT FINISH-OUT OF AN EXISTING WHITE BOX SPACE INTO A PROPOSED RESTAURANT,"1,896 ft 2",WEITZMAN GROUP,"3120 MAPLE AVE  SUITE 350, DALLAS, Texas 75201",(214) 954-0600,ZSTUDIO DESIGN,"2225 S 1ST ST, GARLAND, Texas 75041",(972) 897-3966,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018219,
PB17B198 Paving and Drainage Improvements E 10th Street From IH-35 To Clarendon Drive,TABS2024018205,E 10th Street,"E 10th Street, Dallas, TX 75203",Dallas,7/1/2024,7/1/2025,"$2,700,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Street reconstruction including road, sidewalks, drainage, lighting, and utilities","10,500 ft 2",City of Dallas,"320 E. Jefferson Blvd Room 307, Dallas, Texas 75203",(214) 620-6001,Halff Associates,"1201 N Bowser Rd, Richardson, Texas 75081",(214) 346-6235,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018205,
ROYCE Chocolate,TABS2024018196,ROYCE Chocolate at Carrollton,"2540 Old Denton Road, suite 311, Carrollton, TX 75006",Dallas,6/16/2024,10/16/2024,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenant finish out,"1,042 ft 2",NewQuest Properties,"8827 W. Sam Houston Pkwy, N. #200, Houston, Texas 77040",(281) 477-4371,PDMS Design Group,"2225 E RANDOL MILL RD, ARLINGTON, Texas 76011",(817) 701-4807,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018196,Lucia Santiago
Woodmont Shop Addition and Renovation,TABS2024018194,Woodmont Cabinets,"1106 Topper Drive, Cedar Hill, TX 75104",Dallas,6/1/2024,11/30/2024,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation to and existing 6,433 metal building in which we are adding two offices and two restrooms.  There is an addition of 1,614 SF.","8,047 ft 2",Woodmont Cabinets,"1001 Cedar View, Cedar Hill, Texas 75104",(972) 816-9300,HRO Architects LLC,"320 Cooper Street, Cedar Hill, Texas 75104",(972) 293-1889,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018194,
Big Sky Medical Center Restroom Refresh,TABS2024018178,Big Sky Medical Center,"3101 E President George Bush Highway, Richardson, TX 75082",Dallas,6/1/2024,9/30/2024,"$109,160",Renovation/Alteration,"This project is privately funded, on private land for private use.","723sf, bathroom renovation.","118,427 ft 2","POT Big Sky Richardson, LLC","4849 Greenville Avenue, Ste. 1270, Dallas, Texas 75206",(469) 949-8300,Corgan,"401 North Houston Street, Dallas, Texas 75202",(214) 977-3540,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018178,
