project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Cloud Naan,TABS2025014861,Commercial Strip Shopping Center,"888 S Greenville Ave. Suite 224, Richardson, TX 75081",Dallas,4/10/2025,7/10/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodeling office space to full service restaurant,"2,000 ft 2",Umair Solaija,"1517 FM 359 Rd. Suite 400, Richmond, Texas 77406",(443) 744-1003,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014861,,,,
7038 Greenville Ave.,TABS2025014843,Dallas Printing,"7038 Greenville Ave., Dallas, TX 75231",Dallas,5/5/2025,11/5/2025,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Demolition of interior walls, floor coverings, suspended ceiling, lighting, and electrical. Installation of new walls, floor coverings, ceilings, lighting, electrical, front facade, and security fence.","9,680 ft 2",Rocky Meadow LLC,"5909 Dorset Drive, Plano, Texas 75089",(214) 542-1208,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014843,Craig Wiese - Dallas Printing,"Infinity Engineering Group, PLLC","1208 E Kennedy Blvd Suite 230, Tampa, Florida 33602",(813) 434-4770
FXG Network 2.0 Dallas Local TX,TABS2025014841,Fedex Ground,"1101 E Cleveland Rd, Hutchins, TX 75141",Dallas,5/13/2025,6/13/2025,"$613,151",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of an existing FedEx Ground location  -  Sq Ft 6,000","6,000 ft 2",FEDEX Corporation,"1000 FedEx Drive, Moon Township, Pennsylvania 15108",(469) 371-6616,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014841,,Cortland Morgan Architect,"711 N. Fielder Road, Arlington, Texas 76012",(817) 635-5696
8080 Park Lane Lobby Renovation,TABS2025014806,8080 Park Lane,"8080 Park Lane, Dallas, TX 75231",Dallas,5/19/2025,10/6/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel of existing lobby and restrooms,"1,958 ft 2",Northwood PL Holdings LP,"8080 Park Lane, Suite 600, Dallas, Texas 75231",(469) 501-2291,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014806,,Entos Design,"5400 LBJ Freeway, SUITE 125, Dallas, Texas 75240",(972) 770-2222
Site Improvements,TABS2025014804,Inwood Village Shopping Center,"5300 W. Lovers Lane, Dallas, TX 75209",Dallas,7/1/2025,3/7/2026,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The project includes parking lot reconfiguration, asphalt mill & overlay, pavement repairs, the addition of an accessible route between the theater & W. Lovers Lane, drainage improvements in the east & west alleys, and two new fire service lines.","279,000 ft 2","L&B DEPP Inwood Village, L.P.","5910 N. Central Expressway, Suite 1200, Dallas, Texas 75206",979-571-7505,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014804,,"Halff Associates, Inc.","1201 N Bowser Road, Richardson, Texas 75081",(214) 217-6412
Lindora Addison,TABS2025014801,Lindora Addison,"5100 Belt Line Road, Suite 820, Addison, TX 75254",Dallas,4/30/2025,7/31/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",The space will be used as a weight loss and wellness clinic.  There is an ancillary retail area for products to be displayed and sold.,"1,450 ft 2",VOP Partners LLC,"4801 Harbor Dr., Flower Mound, Texas 75022",(972) 480-1788,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014801,Anuj Chadha,studio M6 Architects,"13551 W Brazos Bend Dr., Needville, Texas 77461",(832) 876-7113
BBQ CHICKEN,TABS2025014781,H-MART RETAIL CENTER,"2534 ROYAL LN. #135, Dallas, TX 75229",Dallas,5/1/2025,9/30/2025,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",SET UP THE CHICKEN RESTAURANT,"3,500 ft 2",KIMBERLY,"80 E. STATE RT4, #210, PARAMUS, New Jersey 07652",201-499-1414,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014781,RICHARD YANG,JWK,"4128 BEACON ST., FLOWER MOUND, Texas 75028",972 979 3962
HAROR FREIGHT TOOLS - TENANT IMPROVEMENTS,TABS2025014772,HARBOR FREIGHT TOOLS - DESOTO TX,"101 INTERSTATE 35 E, Desoto, TX 75115",Dallas,9/15/2025,11/25/2026,"$817,972",New Construction,"This project is privately funded, on private land for private use.","INTERIOR BUILD OUT OF NEWLY CONSTRUCTED WARM DARK SHELL BY LANDLORD UNDER A SEPERATE PERMIT. INTERIOR ALTERATIONS INCLUDE NEW OFFICES, RESTROOMS, BREAK ROOM WITH CABINETS, AND VESTIBULE. NEW EXTERIOR SIGNAGE ON A SEPERATE PERMIT.","16,351 ft 2",RICK STEELE,"295 WEST CROSSVILLE RD BUILDING 800 STE 840, ROSWELL, Georgia 30075",(770) 951-9652,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014772,KYLE NIX,ADA ARCHITECTS,"17710 DETROIT AVE, LAKEWOOD, Ohio 44107",216-521-5134
Coppell Justice Center Addition and Renovation.,TABS2025014767,Coppell Justice Center,"130 Town Center Boulevard, Coppell, TX 75019",Dallas,6/1/2025,10/1/2026,"$6,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Addition and renovation to the Coppell Justice Center to include new fitness room, men and women's locker rooms","4,700 ft 2",City of Coppell,"255 E. Parkway Blvd, coppell, Texas 75019",(972) 462-5148,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014767,,Parkhill,"3000 Internet Blvd, Suite 550, Frisco, Texas 75034",(972) 987-1670
HILTON ANATOLE - ATRIUM GUESTROOM RENOVATION,TABS2025014765,HILTON ANATOLE,"2201 N. STEMMONS FWY., Dallas, TX 75207",Dallas,7/1/2025,7/31/2026,"$30,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL (UPGRADE) EXISTING GUESTROOMS ON 11 FLOORS ...,"388,158 ft 2","ANATOLE PARTNERS, III, LLC.","3819 MAPLE AVENUE, DALLAS, Texas 75219",(214) 748-1200,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014765,BRUCE ROY,ROSSI ARCHITECTURE,"3952 CLAIRMONT MESA DRIVE, #D-384, SAN DIEGO, California 92117",(619) 291-8272
