project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
Barney's Brunch House,TABS2026009715,LA LA Market,"600 S Sherman St, Suite 124, Richardson, TX 75081",Dallas,2/2/2026,4/30/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Construction of restaurant in an existing building. ,"3,000 ft 2",LaLa Market LLC,"600 S Sherman Street Suite 108, Richardson, Texas 75081",(972) 834-4892,Bumi Sejdini,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009715,,,
Bear Creek Crossing Spec Office 2,TABS2026009714,Bear Crossing Creek,"910 W Shady Grove Rd, Grand Prairie, TX 75050",Dallas,1/30/2026,4/30/2026,"$423,958",New Construction,"This project is privately funded, on private land for private use.",Tenant improvement of existing shell building. 2395 sf.,"2,395 ft 2","Scannell Properties # 741, LLC","8801 River Crossing Blvd, Ste 300, Indianapolis, Indiana 46240",(317) 843-5959,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009714,Azimuth Architecture,"10228 E. Northwest Hwy., Box #66, Dallas, Texas 75238",(214) 261-9060
Bear Creek Crossing Spec Office 1,TABS2026009708,Bear Creek Crossing,"910 W Shady Grove Road, Grand Prairie, TX 75050",Dallas,1/30/2026,4/30/2026,"$531,793",New Construction,"This project is privately funded, on private land for private use.",Tenant improvement of existing shell building. 4139 sf.,"4,139 ft 2","Scannell Properties # 741, LLC","8801 River Crossing Blvd, Ste 300, Indianapolis, Indiana 46240",(317) 843-5959,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009708,Azimuth Architecture,"10228 E. Northwest Hwy., Box #66, Dallas, Texas 75238",(214) 261-9060
Sezane Dallas,TABS2026009705,NorthPark Center,"8687 North Central Parkway Suite 1706, Dallas, TX 75225",Dallas,4/1/2026,5/1/2026,"$195,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior Tenant Improvement, including interior partitions, finishes, millwork, and lighting.  No changes to HVAC or plumbing, no change in use","1,866 ft 2",NORTHPARK LAND PARTNERS,"8080 N CENTRAL EXPY STE 1100, DALLAS, Texas 75206",(214) 369-1234,Benda Bili INC. C/O Alexandra Sloves,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009705,Coleman Architecture,"260 East Mountain View Street, Long Beach, California 90805",(714) 553-8875
UBS,TABS2026009704,23SPRINGS,"2323 CEDAR  SPRINGS ROAD, Dallas, TX 75201",Dallas,1/12/2026,6/1/2026,"$5,600,000",New Construction,"This project is privately funded, on private land for private use.",INERIOR BUILDOUT / OFFICE SPACE,"2,400,000 ft 2",Granite Properties,"2323 Cedar Springs Road, Dallas, Texas 75201",(972) 731-2300,Richard Gallagher,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009704,Belea Group,"228 East 45th Street, New York, New York 10017",(917) 975-6404
equipment installation,TABS2026009701,UUDS America Inc,"5201 regent blvd suite 130, Irving, TX 75063",Dallas,1/15/2026,3/20/2026,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","paint booth, HTPT and sanding tables installation","50,200 ft 2",PROLOGIS TEXAS III LP,"1800 WAZEE ST, DENVER, Colorado 80202",(214) 533-1161,Muhammad Adeel,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009701,,,
BINARY LOGISTICS TENANT IMPROVEMENTS,TABS2026009700,SUNRIDGE BUSINESS PARK,"200 SUNRIDGE BLVD, Wilmer, TX 75172",Dallas,1/12/2026,3/12/2026,"$900,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","INTERIOR RENOVATION OF 500 SQUARE FEET IN AN EXISTING SHELL BUILDING. ADDITION OF 30'-0"" OF INTERIOR GLAZING IN AN EXISTING OFFICE SUITE.",500 ft 2,SFG WILMER LLC,"3280 PEACHTREE RD NE SUITE 2770, ATLANTA, Georgia 30305",(254) 654-2632,ERIC CHEN,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009700,O'Brien Architects,"1722 ROUTH STREET SUITE 122, DALLAS, Texas 75201",(972) 788-1010
Social Llama Events HQ,TABS2026009691,4919 Woodall,"4919 Woodall Street, Dallas, TX 75247",Dallas,2/11/2026,4/3/2026,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Non-structural interior finish-out in an existing building,"49,907 ft 2","PBEIV 3131 IRVING BOULEVARD HOLDINGS GP, LLC","3800 N LAMAR BLVD STE 350 AUSTIN, TEXAS 787564019, Austin, Texas 78756",(817) 600-5809,Macy Pulliam,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009691,idGROUP,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800
Element Fitness – Gym Renovation,TABS2026009688,Staples Retail Building,"4400 Belt Line Rd, Addison, TX 75001",Dallas,1/15/2026,2/28/2026,"$60,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Finish Out project to convert the space to Fitness Gym,"20,330 ft 2",DK Beltline LLC,"3113 Ipswich Dr, Plano, Texas 75025",214-620-9507,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009688,LVL8 Consulting LLC,"11649 Johnson Rd, Leander, Texas 78641",(512) 636-4954
9214 Bruton Rd - Walia Addition,TABS2026009684,Walia Addition,"9214 BRUTON RD, DALLAS, TX 75217, Dallas, TX 75217",Dallas,10/1/2025,5/1/2026,"$1,100,000",New Construction,"This project is privately funded, on private land for private use.",The project is a commercial mixed-use development consisting of seven (7) suites. ,"31,200 ft 2",AMAR DADDY ONLY INC,"519 BELLAH DR, Irving, Texas 75062",(469) 734-4370,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009684,Digisuite LLC,"5900 Balcones Drive 18482, Austin, Texas 78731",(236) 833-5042
Temple Shalom Renovation,TABS2026009666,Temple Shalom,"6930 Alpha Rd, Dallas, TX 75240",Dallas,2/24/2026,7/1/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Finish renovation ,"10,533 ft 2",Temple Shalom,"6930 Alpha Rd, Dallas, Texas 75240",(972) 661-1810,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009666,,,
"BH Security, LLC dba Brinks Home",TABS2026009665,Park West I,"1501 LBJ Freeway, Suite 700, Farmers Branch, TX 75234",Dallas,1/15/2026,6/30/2026,"$2,350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of Existing Interior Space,"26,562 ft 2",Park West LBJ I LLC & Park West LBJ II LLC,"23 Walker Avenue #300, Pikesville, Maryland 21208",(972) 620-3145,Molly Boyer,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009665,BHA Studio,"3141 Hood Street Suite 420, Dallas, Texas 75219",(817) 793-4083
Matador Resources Company,TABS2026009655,Lincoln Centre,"5400 LBJ FWY Suite 1100, Dallas, TX 75240",Dallas,1/12/2026,6/2/2026,"$869,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel of an existing shell building, total square footage is 28,974 SF.","28,974 ft 2",Teachers Insurance and Annuity Assoc of America,"730 3rd Avenue, New York, New York 10017",(972) 770-2440,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009655,O'Brien Architects,"1722 Routh Street Suite 122, Dallas, Texas 75201",(972) 788-1010
Texas Regional Bank 635 Exterior Remodel,TABS2026009651,Texas Regional Bank,"5644 LBJ Freeway, Dallas, TX 75240",Dallas,3/1/2026,9/1/2026,"$1,200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Exterior improvements only on a 3 story commercial building with a total inside sf of 13,900","13,900 ft 2",Texas Regional Bank,"6770 W Interstate 2, Harlingen, Texas 78552",(965) 364-3603,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009651,Origoworks,"222 North Expressway #300, Brownsville, Texas 78521",(956) 574-9373
BLANK HAUS STUDIO,TABS2026009641,BLANK HAUS STUDIO,"650 FORT WORTH AVE #STE. 140, Dallas, TX 75208",Dallas,6/1/2026,12/30/2026,"$210,000",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"2,122 ft 2",PURE NRG CYCLE,"650 FORT WORTH AVE, DALLAS, Texas 75208",(214) 628-7162,JACOB JOSEPH-DAVID,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009641,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038
UTSW CUH OR RENOVATIONS - OR 33,TABS2026009632,UT SOUTHWESTERN CLEMENTS UNIVERSITY (CUH) HOSPITAL,"6201 HARRY HINES BLVD, Dallas, TX 75390",Dallas,10/12/2025,4/6/2026,"$1,622,500",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Renovation of Vascular Hybrid Operating Room 33 for the replacement of imaging equipment. ,"1,160 ft 2",UT SOUTHWESTERN MEDICAL CENTER,"5323 HARRY HINES BLVD., Dallas, Texas 75390",(214) 633-1661,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009632,HOEFER WELKER,"500 N Akard Suite 2450, Dallas, Texas 75201",(214) 445-4339
