ProjectId,ProjectNumber,ProjectName,ProjectCreatedOn,ProjectStatus,FacilityName,City,County,TypeOfWork,EstimatedCost,DataVersionId,EstimatedStartDate,EstimatedEndDate,URL
144d1efa-580c-441e-9dd1-b1c86bc02f83,TABS2026012627,Addison Town Center: Facade Improvements,2026-02-13T18:09:49.173,3008,Addison Town Center,8,2057,9002,1500000.0,900001,2026-03-16T00:00:00,2026-07-17T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012627
17925661-4d14-41b0-9bb5-86cf3c85c689,TABS2026012620,5th Floor Restrooms,2026-02-13T16:53:39.69,3008,Lincoln Centre Two,415,2057,9002,200000.0,900001,2026-02-21T00:00:00,2026-04-21T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012620
91c23ec5-6279-4376-a311-c039749b72d1,TABS2026012611,Renown Resources,2026-02-13T15:46:25.753,3008,Lincoln Centre Two,415,2057,9002,120000.0,900001,2026-02-16T00:00:00,2026-04-21T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012611
12a7a2e7-2747-4078-adfd-f2ac28e39110,TABS2026012603,Speculative Suites,2026-02-13T14:47:36.27,3008,4746 Memphis,415,2057,9002,800000.0,900001,2026-02-13T00:00:00,2026-04-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012603
be8b2950-5406-428b-a109-dbe77c4c1537,TABS2026012596,"Powers Taylor, LLP",2026-02-13T14:15:08.313,3008,Merit Tower,415,2057,9002,550000.0,900001,2026-03-02T00:00:00,2026-06-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012596
80017b40-0b86-41e4-a152-94053401f3f4,TABS2026012592,Project Aviator,2026-02-13T14:06:22.963,3008,"Cedar Alt Distribution Center, LLC",415,2057,9003,1700000.0,900001,2026-02-17T00:00:00,2026-04-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012592
cc0d7f6d-1ff9-4a60-9958-c94cd4545cd6,TABS2026012585,Housson Center,2026-02-13T13:41:25.603,3008,The Gild North Loft,415,2057,9002,400000.0,900001,2026-02-25T00:00:00,2026-07-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012585
5b1075f7-c4de-4f93-8e94-76cefbc44b5a,TABS2026012574,Seagoville PK-8,2026-02-13T13:04:45.993,3008,Seagoville PK-8,415,2057,9001,53000000.0,900001,2026-03-13T00:00:00,2027-06-13T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012574
9a9bdfd9-3744-409d-bc5e-e72c038dc8a7,TABS2026012569,Multi family Mixed Use,2026-02-13T12:33:14.683,3008,Oasis Parkside,1509,2057,9001,9000000.0,900001,2026-08-01T00:00:00,2027-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012569
76961e20-45f2-4ffc-95e9-82ce24cd1b38,TABS2026012556,Joseph J. Rhoads Learning Center Building Additions & Site Work,2026-02-13T11:39:10.747,3008,Joseph J. Rhoads Learning Center,415,2057,9003,5000000.0,900001,2026-03-23T00:00:00,2027-06-21T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012556
a16a8a01-53d9-4104-a0e1-e37db8905e02,TABS2026012550,King of Glory Sage Renovations,2026-02-13T10:45:55.37,3008,King of Glory Lutheran Church,415,2057,9002,300000.0,900001,2026-04-01T00:00:00,2026-08-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012550
