ProjectNumber,FacilityName,City,County,TypeOfWork,EstimatedCost,ProjectStatus,ProjectId,DataVersionId,ProjectName,ProjectCreatedOn,EstimatedStartDate,EstimatedEndDate,URL
TABS2026024457,PARC ROYAL,821,2057,9002,128960.0,3008,0204a560-1b0e-472d-b3e7-01f09c46633b,900001,FLUID LIFE,2026-07-03T15:41:43.207,2026-07-08T00:00:00,2026-08-19T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024457
TABS2026024447,HENDERSON MIXED USE DEVELOPMENT BLDG F,415,2057,9002,400000.0,3008,ada44c4c-4f64-428b-b6bb-eff4e1be0dc5,900001,HENDMU - F103 ALBERTA BOOT CO,2026-07-02T21:40:01.633,2026-08-01T00:00:00,2026-10-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024447
TABS2026024421,UNTD STEM,415,2057,9002,13000000.0,3008,c08ed9ac-9293-4feb-96cb-c7f8feef95b7,900001,UNTD STEM 4th Floor Finish Out,2026-07-02T16:09:03.58,2026-08-12T00:00:00,2027-04-12T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024421
TABS2026024417,Naterra World Headquarters,368,2057,9001,34000000.0,3008,9b94775d-40cb-40d6-b862-5c770cbd2961,900001,Naterra World Headquarters,2026-07-02T15:30:29.603,2026-10-01T00:00:00,2027-12-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024417
TABS2026024411,Spectrum Center,8,2057,9002,450000.0,3008,e7faeca9-b033-4f47-b286-91bd4e360a50,900001,Spec Suite 350E,2026-07-02T15:14:10.877,2026-07-06T00:00:00,2026-10-06T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024411
TABS2026024406,Dallas Zoo,415,2057,9001,410000.0,3008,bf6e2e98-33a7-4803-9890-abb4ccf840d4,900001,Dallas Zoo Safari Trail Zip Line,2026-07-02T15:00:47.59,2026-09-01T00:00:00,2026-11-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024406
TABS2026024401,Spectrum Center,8,2057,9002,350000.0,3008,dac56f40-2d74-485f-a4ba-320c129153ad,900001,"Suite 300W Whitebox, Corridor & Restrooms",2026-07-02T14:14:55.14,2026-07-06T00:00:00,2026-10-05T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024401
TABS2026024378,Shady Grove Building A,686,2057,9001,3000000.0,3008,146b8a8e-209d-46de-be4f-5b48885dfbc6,900001,CHEP Phase 1,2026-07-02T12:12:35.26,2026-07-21T00:00:00,2027-01-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024378
TABS2026024373,Frontara Plaza,1131,2057,9002,180000.0,3008,168cfff3-94da-422f-8dcc-e52c5b7d3e0e,900001,Smoothie King #2527,2026-07-02T11:39:17.913,2026-07-20T00:00:00,2027-01-22T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024373
TABS2026024366,C.M. Hinton Landfill,1509,2057,9003,4400000.0,3008,785729a8-fac6-4094-8a74-bd33dd5ce65c,900001,City of Garland Hinton Landfill - Administration Expansion & Remodel,2026-07-02T11:03:31.063,2026-08-14T00:00:00,2027-08-17T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024366
TABS2026024357,Medical City Dallas,415,2057,9002,563729.0,3008,625fdb48-69cc-420b-b76f-93a18eec6a02,900001,MCD Pediatric ED Resuscitation Room,2026-07-02T10:15:41.427,2026-08-07T00:00:00,2026-11-05T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024357
TABS2026024352,4201 Spring Valley,569,2057,9002,88725.0,3008,f1fd7d19-4da3-4b15-b552-574baf7e0b1b,900001,"Your Room, LLC",2026-07-02T09:54:03.4,2026-08-03T00:00:00,2026-09-07T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024352
TABS2026024342,Walnut Hill,821,2057,9002,36000000.0,3008,f1f4a63b-9345-468f-b101-54c95fb951e9,900001,Project Stone,2026-07-02T08:46:10.687,2026-07-06T00:00:00,2027-08-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024342
TABS2026024331,Gricelda Shopping Center,415,2057,9001,2000000.0,3008,106df83e-0bb4-4588-a74f-3939bda9544d,900001,Gricelda Shopping Center,2026-07-01T17:03:30.387,2026-08-01T00:00:00,2027-07-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024331
TABS2026024324,3811 Turtle Creek,415,2057,9002,1016610.0,3008,36786c4e-e4b4-4aa0-a6d7-ee1de33a966a,900001,Applied Digital,2026-07-01T16:26:12.247,2026-07-13T00:00:00,2026-11-23T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024324
TABS2026024320,Clark's Dallas,415,2057,9002,1500000.0,3008,706e2860-0f73-4f87-be8f-d47cb8c73bdd,900001,Clark's Dallas,2026-07-01T16:08:02.02,2026-07-06T00:00:00,2026-12-06T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024320
TABS2026024317,"COMPOUND GARLAND BLDG 11 - GARLAND, TX",641,2057,9001,1056627.0,3008,9caa954c-0d95-4ca2-9be6-28f04366d17c,900001,"COMPOUND GARLAND BLDG 11 - GARLAND, TX",2026-07-01T15:50:57.67,2026-10-01T00:00:00,2027-06-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024317
TABS2026024310,5950 Sherry Lane,415,2057,9002,219000.0,3008,25e504a9-63a7-4271-bf45-8dfce4d91bf5,900001,Scalar Gauge,2026-07-01T15:23:28.743,2026-07-20T00:00:00,2026-09-18T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024310
TABS2026024309,Josey Ranch Plaza 2,269,2057,9002,435000.0,3008,b67c22b6-e4fd-430e-afd9-220b164d0295,900001,ATI Physical Therapy,2026-07-01T15:22:37.563,2026-09-09T00:00:00,2026-11-11T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024309
TABS2026024303,NorthPark Center,415,2057,9002,1200000.0,3008,4c940894-26ad-4abe-89b6-51e87fd9ced4,900001,Yo-Chi at NPC,2026-07-01T14:50:20.387,2026-08-30T00:00:00,2026-11-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024303
TABS2026024278,O'Reilly Auto Parts,1509,2057,9001,1305304.0,3008,4b7e5342-dc0c-4287-b3c1-1ab6aec7bca5,900001,O'Reilly Auto Parts,2026-07-01T13:04:33.54,2026-10-01T00:00:00,2027-03-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024278
TABS2026024269,Hopkins Marsh Lane Plaza,415,2057,9002,325000.0,3008,b3afd121-6a4f-4820-bd77-0b911146c9ee,900001,Jersey Mike's Marsh Lane,2026-07-01T12:01:33.893,2026-09-14T00:00:00,2026-10-26T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024269
TABS2026024263,Texas Financial Campbell Branch,415,2057,9002,400000.0,3008,af2654e4-b4da-4e13-a123-338c011696e9,900001,Texas Financial Campbell Branch,2026-07-01T11:11:27.797,2026-08-01T00:00:00,2026-11-02T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024263
TABS2026024258,Irving Medical Office Building II,821,2057,9002,294164.0,3008,7edc76da-1b06-46a5-9a0c-2c979aec2b24,900001,MSCI Office Space,2026-07-01T10:38:44.967,2026-07-01T00:00:00,2026-10-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024258
TABS2026024245,Sam's Club,415,2057,9002,180000.0,3008,9087a382-4a98-430a-a2df-6827ed64323c,900001,Sam's Club #4925,2026-07-01T09:25:56.41,2026-09-06T00:00:00,2026-10-20T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024245
TABS2026024220,Highland Park High School Softball field,415,2057,9002,513363.0,3008,2e7453ca-853c-4aea-ba53-62c7a1678f5b,900001,Highland Park Softball field,2026-06-30T17:03:56.76,2026-07-20T00:00:00,2026-10-02T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024220
TABS2026024179,2601 West Airport Freeway,455,2057,9002,60000.0,3008,8c36a5b6-b636-4a5e-9df5-00b730c9ea4a,900001,Elite Material Handling,2026-06-30T14:14:26.17,2026-07-01T00:00:00,2026-10-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024179
TABS2026024177,Twilight Trail,1453,2057,9002,18388245.0,3008,daa77413-a0cd-46d0-8afd-b53659de5a52,900001,Train 4 Tomorrow,2026-06-30T14:09:17.367,2026-07-15T00:00:00,2026-09-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024177
TABS2026024171,4851 LBJ,569,2057,9002,111510.0,3008,92d884f2-2cb2-45e4-b6fd-2d5cd2324edb,900001,Exigent Energy,2026-06-30T13:38:04.703,2026-07-01T00:00:00,2026-07-17T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024171
TABS2026024164,Gladiator Burger Garland,641,2057,9002,80000.0,3008,b87d2409-9c78-4ed8-88f8-0d117244e90e,900001,Gladiator Burger Garland,2026-06-30T13:06:34.403,2026-07-05T00:00:00,2026-10-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024164
