ProjectId,ProjectNumber,ProjectName,ProjectCreatedOn,ProjectStatus,FacilityName,City,County,TypeOfWork,EstimatedCost,DataVersionId,EstimatedStartDate,EstimatedEndDate
a46f9c60-5a0a-42d5-97ce-0ff0e1938c9a,TABS2024009999,Apartment Complex,2024-01-24T13:11:55.507,3008,Apartment Complex,269,2061,9002,10000000.0,900001,2024-03-01T00:00:00,2025-07-01T00:00:00
a468e218-532c-4a6a-bacf-6aa8781e202b,TABS2024009979,365 STORAGE - DENTON,2024-01-24T11:02:43.177,3008,365 STORAGE - DENTON,445,2061,9001,8500000.0,900001,2024-05-01T00:00:00,2025-05-01T00:00:00
c1cd8d84-3ad2-4bf3-8271-1dd524fdcd11,TABS2024009952,OZIER ORTHODONTICS,2024-01-23T21:36:26.307,3008,OZIER ORTHODONTICS,623,2061,9002,100000.0,900001,2024-02-15T00:00:00,2024-08-01T00:00:00
005ade69-90ef-46ad-9c38-e7773c84bdb3,TABS2024009887,Phase 13 Street Reconstruction,2024-01-23T13:12:03.65,3008,Phase 13 Street Reconstruction,1727,2061,9001,261536.0,900001,2024-03-31T00:00:00,2025-03-31T00:00:00
333c1a3e-7434-4b79-b984-5aa290641e7c,TABS2024009847,Bill Allen Memorial Park,2024-01-23T09:38:33.653,3008,N/A,1727,2061,9002,580000.0,900001,2024-02-28T00:00:00,2024-10-01T00:00:00
dec0eb5a-83d4-49d6-8531-d23e3accc18b,TABS2024009846,Little Elm Public Safety Annex,2024-01-23T09:33:10.887,3008,Little Elm Public Safety Annex,1000,2061,9001,15000000.0,900001,2024-04-01T00:00:00,2025-06-02T00:00:00
d60f268f-60e4-4136-a513-b2570eb248ce,TABS2024009789,Nothing Bundt Cakes #897,2024-01-22T14:01:58.463,3008,Epic West Towne Crossing,686,2061,9002,200000.0,900001,2024-02-19T00:00:00,2024-05-20T00:00:00
625d0993-94bb-4781-9ebf-dd0c9c036d3b,TABS2024009761,Heart of the City,2024-01-22T11:43:16.977,3008,Heart of the City,985,2061,9003,190000.0,900001,2024-03-01T00:00:00,2024-06-01T00:00:00
d1a62c93-5c84-433a-b8b0-6e977a470a5a,TABS2024009738,Bath & Body Works,2024-01-22T09:26:50.723,3008,Lewisville Towne Crossing,985,2061,9002,250000.0,900001,2024-04-08T00:00:00,2024-06-07T00:00:00
25d59417-4ecc-4fda-a9c6-2978a6e590ad,TABS2024009707,Denton ISD Strickland Middle School,2024-01-19T16:43:10.887,3008,Strickland Middle School,445,2061,9002,942002.0,900001,2023-06-01T00:00:00,2024-08-01T00:00:00
