project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
City of Keller,TABS2024017675,S. Elm St.,"S. Elm St. Pecan, Vine, Keller, TX 76248",Denton,7/1/2024,8/2/2027,"$22,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Reconstruction of the existing two-lane asphalt S. Elm St. to a two-lane decorative concrete roadway with on-street parking and enhanced sidewalk widths within Keller's Old Town.,"250,000 ft 2",City Of Keller,"1100 Bear Creek Pkwy, Keller, Texas 76248",(817) 743-4082,Kimley-Horn,"100 W. Oak St., Denton, Texas 76201",(817) 304-2483,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017675,
IYN Office,TABS2024017625,IYN Office,"312 N Oak St, Roanoke, TX 76262",Denton,6/1/2024,9/1/2024,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel 1223 sf of office space,"1,223 ft 2","IYN Holdings, LLC","1215 Hackworth St, Roanoke, Texas 76262",(817) 800-7926,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017625,
QTS FTW1 DH1&5 Phase 2,TABS2024017616,QTS FTW1 DC1,"14100 Park Vista, Fort Worth, TX 76177",Denton,5/17/2024,12/1/2024,"$16,300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Data Hall Equipment Fit-Out, Electrical Upgrades, 28,000 SF","28,000 ft 2",QTS,"14100 Park Vista, Fort Worth, Texas 76177",210-793-1303,Corgan,"401 N. Houston St., Dallas, Texas 75202",214-977-3324,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017616,
Grey Retail Shell Building,TABS2024017537,Providence Village Retail Shops,"University Dr. & Main St, Providence Village, TX 76227",Denton,7/29/2024,6/1/2025,"$2,236,389",New Construction,"This project is privately funded, on private land for private use.",New Construction of Grey shell retail building with remote trash enclosure,"10,400 ft 2",GBT Realty Corporation,"9010 Overlook Blvd, Brentwood, Texas 37027",(615) 370-0670,Cuhaci Peterson,"2600 Maitland Center Parkway, Maitland, Florida 32708",602-671-7567,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017537,
Pizza Twist Lewisville,TABS2024017515,Pizza Twist Lewisville,"3517 Windhaven Pkwy.  Suite 400, Lewisville, TX 75056",Denton,5/23/2024,9/23/2024,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel an empty existing retail space. (1016 s.f.  interior & 450 s.f. outdoor patio),"1,016 ft 2",3517 SR LLC,"4400 State Highway 121  Suite 900, Lewisville, Texas 75056",(214) 546-2622,Taurus Engineering Consulting Services LLC,"7723 Buccaneer Circle, Arlington, Texas 76016",817-913-4426,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017515,Sandeep Cowdary Meka
RTS Physical Therapy Finish Out Justin,TABS2024017411,RTS Physical Therapy of Justin,"14920 FM 156, Justin, TX 76247",Denton,5/6/2024,8/31/2024,"$85,000",New Construction,"This project is privately funded, on private land for private use.",Tennant Interior Finish Out,"1,900 ft 2",Glen Coe Enterprises LLC,"14920 FM 156, Justin, Texas 76247",(240) 648-2300,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017411,Matthew Taylor
CHEF STORY,TABS2024017402,Northcrest Village,"3044 OLD DENTON RD #113, Carrollton, TX 75007",Denton,5/31/2024,9/1/2024,"$70,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",SET UP THE BENTO SHOP,"1,500 ft 2",JE LEE,"3044 OLD DENTON RD #113, CARROLLTON, Texas 75007",(925) 549-2091,JWK,"4128 BEACON ST., FLOWER MOUND, Texas 75028",(972) 979-3962,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017402,
Sanger Industrial Park - Building B,TABS2024017397,Sanger Industrial Park,"I-35 East Service Road & Lois Road, Sanger, TX 76266",Denton,6/15/2024,6/15/2025,"$18,764,000",New Construction,"This project is privately funded, on private land for private use.","work includes completing the Schematic Design package, finalizing the Site Plan, Building Floor Plans, and Exterior Elevation concepts and full contract administration.","190,960 ft 2","MS Park Construction, LLC","17 State Street Suite 3930, New York, New York 10004",(404) 457-8473,"Pross Design Group, Inc.","5310 Harvest Hill Road Suite 180, Dallas, Texas 75230",(972) 759-1400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017397,
Sanger Industrial Park - PNK Group,TABS2024017396,Sanger Industrial Park,"I-35 East Service Road & Lois Road, Sanger, TX 76266",Denton,6/15/2024,6/15/2025,"$35,736,000",New Construction,"This project is privately funded, on private land for private use.","Work includes completing Schematic Design package, finalizing Site Plan, Building Floor Plans, and Exterior Elevation concepts and full contract administration.","305,760 ft 2","MS Park Construction, LLC","17 State Street Suite 3930, New York, New York 10004",(404) 457-8473,"Pross Design Group, Inc.","5310 Harvest Hill Road Suite 180, Dallas, Texas 75230",(972) 759-1400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017396,
Sanger - Tom Thumb - Building A,TABS2024017379,Sanger Tom Thumb - Building A,"NW Corner of I-35 and Chapman Road, Sanger, TX 76266",Denton,7/15/2024,7/15/2025,"$9,000,000",New Construction,"This project is privately funded, on private land for private use.",Construction of a new dark shell local retail building including related site work and amenities.,"49,980 ft 2","Melaku Partners, LTD","Old Parkland-Freedom Place 4143 Maple Ave Suite 2325, Dallas, Texas 75219",(214) 219-4900,GFF Design,"3030 Nowitzki Way Suite 400, Dallas, Texas 75219",(214) 303-1500,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017379,
