ProjectId,ProjectNumber,ProjectName,ProjectCreatedOn,ProjectStatus,FacilityName,City,County,TypeOfWork,EstimatedCost,DataVersionId,EstimatedStartDate,EstimatedEndDate,URL
d4d4d5d0-c07f-4802-8b34-c70aeec84c2d,TABS2024024055,Prayer and Pilates TI,2024-07-26T14:29:46.203,3008,Roanoke Gateway Building 2,1472,2061,9002,84000.0,900001,2024-08-10T00:00:00,2024-10-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024055
c13d8509-5f0c-469a-88fe-74aa040b6122,TABS2024024026,The Reserve at Marty B's,2024-07-26T11:25:44.44,3008,The Reserve at Marty B's,104,2061,9001,9900000.0,900001,2024-08-19T00:00:00,2025-12-19T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024026
0e938f2b-74ee-43b7-871e-138bb26c420e,TABS2024023967,Barrel House Restaurant Tenant,2024-07-25T15:39:13.197,3008,Barrel House Restaurant Tenant,623,2061,9001,700000.0,900001,2024-09-01T00:00:00,2025-03-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023967
1ac12757-a6fc-468b-9b29-4595dd197cc9,TABS2024023891,KING NOODLE - DENTON,2024-07-24T19:28:15.827,3008,KING NOODLE,445,2061,9002,250000.0,900001,2024-08-15T00:00:00,2025-02-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023891
22fef03e-1a29-43f0-8e47-ea996aa51cbc,TABS2024023848,North Shore Communities,2024-07-24T14:33:30.183,3008,HUQ UP,75,2061,9001,195000.0,900001,2025-03-02T00:00:00,2025-06-12T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023848
ae49bdca-038e-4f58-8f06-ebe58eea4f9b,TABS2024023835,Exceed Performance Training and Rehab,2024-07-24T13:21:22.347,3008,Prairie Commons,586,2061,9001,96000.0,900001,2024-08-06T00:00:00,2024-10-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023835
bef460bb-1c8c-4cdd-a426-b9ba10afeefb,TABS2024023729,Walmart 5247 ESS,2024-07-23T16:26:27.583,3008,Walmart Store 5247,1472,2061,9002,115000.0,900001,2025-02-01T00:00:00,2025-02-22T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023729
e32b8e6e-41ff-42a7-aa3c-e9378e37d961,TABS2024023699,Denton County Courtroom Infill,2024-07-23T14:01:18.33,3008,Denton County Administrative Courthouse,445,2061,9002,2504000.0,900001,2024-09-12T00:00:00,2025-04-08T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023699
78b1ae5d-7d55-483c-926a-1cd6931f8371,TABS2024023665,Heights at Hollyhock,2024-07-23T11:05:45.387,3008,Building 1,623,2061,9001,1800000.0,900001,2024-08-10T00:00:00,2025-08-12T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023665
5698e0b1-6cea-45ce-a93c-eb06555a7ae9,TABS2024023651,Brookside South Park,2024-07-23T09:45:05.47,3008,N/A,623,2061,9001,2730120.0,900001,2024-10-01T00:00:00,2025-10-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023651
