project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
FST Logistics Tenant Improvment Phase 1,TABS2025007106,FST Logistics,"2601 Petty Place Suite 111, Fort Worth, TX 76177",Denton,1/6/2025,4/1/2025,"$5,272,773",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel of an existing distribution warehouse with new office build out, warehouse air conditioning, dock positions, and battery chargers, 383,930","383,930 ft 2","Exeter 2601 Petty, L.P.","100 Matsonford Road Suite 250, Radnor, Pennsylvania 19087",(214) 930-0776,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007106,,,,
Bonchon Korean Chicken,TABS2025007027,Riverwalk Market Flowr Mound,"2450 Cross Timbers Rd, # 100, Flower Mound, TX 75028",Denton,2/3/2025,4/30/2025,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Alteration of existing restaurant for new restaurant. No changes to restrooms, dining areas or patio.","2,918 ft 2",Iven Trust Property Management,"3025 Highland Parkway Suite 350, Downers Grove, Illinois 60515",6-300-570-0737,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007027,Shoil Narsidani,,,
First Park 121 Building F,TABS2025006986,Building F,"501 Holfords Prairie Road, Lewisville, TX 75056",Denton,3/1/2025,2/1/2026,"$10,500,000",New Construction,"This project is privately funded, on private land for private use.","This project generally consists of a new approximately 176,182 square foot speculative tilt-wall building, and associated site improvements located in First Park 121 Industrial Park in Lewisville, Texas. ","176,182 ft 2",Robert Allen,"5310 Harvest Hill Road, Suite 270, Dallas, Texas 75230",(972) 419-5715,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006986,,,,
SPECIAL PROCEDURE ROOM #2,TABS2025006929,Medical City Lewisville,"500 W Main St, Lewisville, TX 75057",Denton,12/16/2024,4/16/2025,"$1,927,535",Renovation/Alteration,"This project is privately funded, on private land for private use.",Major renovation of a special procedure suite to include new ceiling mounted equipment.,"3,847 ft 2",COLUMBIA MEDICAL CENTER LEWISVILLE,"PO BOX 80610, INDIANAPOLIS, Indiana 46280",469-370-2000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006929,,IMAGINE UNLIMITED,"9155 STERLING STREET, SUITE 120, Irving, Texas 75063",(817) 808-2617
T20 SPORTS BAR & GRILL,TABS2025006892,T20 SPORTS BAR & GRILL,"15901 ROLATER RD #STE. 405, Frisco, TX 75035",Denton,2/2/2025,10/31/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR RENOVATION ,"4,292 ft 2",AMEYA VENTURES & INVESTMENTS LLC,"9901 VALLEY RANCH PKWY E #STE. 1030, IRVING, Texas 75063",(972) 832-0465,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006892,DESI HANGOUT,BEAR DESIGN BUILD,"2965 VILLA CREEK DR, DALLAS, Texas 75234",(469) 682-7038
Robertson's Creek Shopping Center Retail Store,TABS2025006857,Roberston's Creek Shopping Center,"5801 Long Prarie Road, Suite 740, Flower Mound, TX 75028",Denton,1/2/2025,3/2/2025,"$190,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior Finish out of existing retail space. New lighting, millwork and finishes. Demo of 3 non load bearing walls only. No exterior work. ","3,000 ft 2",Plaid Fox,"5801 Long Prairie Road Suite 740, Flower Mound, Texas 75028",(763) 458-9930,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006857,,Click Design Group,"9419 Creel Creek Cir, Dallas, Texas 75228",(214) 277-1430
Total by Verizon,TABS2025006764,Total by Verizon,"818 W university dr, Denton, TX  7620",Denton,12/20/2024,2/20/2025,"$55,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodeling by Tenant,"1,750 ft 2",Adam A,"3050 Post Oak Blvd, Houston, Texas 77056",(832) 847-1127,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006764,,,,
GILMORES SCOOPS,TABS2025006658,DECK ON MAIN,"191 W MAIN ST., Lewisville, TX 75057",Denton,12/1/2024,4/30/2025,"$156,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL ,975 ft 2,DECK ON MAIN LLC,"2354 W CREEK DR, FRISCO, Texas 75033",(972) 330-3819,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006658,TANYA GILMORE,WRIGHT GROUP ARCHITECTS PLLC,"1430 SOUTH BROADWAY ST, CARROLLTON, Texas 75006",(972) 242-1015
D&R Signs,TABS2025006642,Denton 35 Exchange BLDG 1,"6901 N I-35 Bldg 1, Denton, TX 76207",Denton,1/2/2025,5/1/2025,"$522,000",New Construction,"This project is privately funded, on private land for private use.","Office space, conditioned production area, conditioned warehouse, and unconditioned warehouse. ","33,961 ft 2",Eastgroup Properties,"7301 N. State Highway 161 Suite 215, Irving, Texas 75039",(972) 386-8700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006642,"D&R Signs, Joe","Alliance Architects, Inc.","1600 N. Collins Blvd. Suite 1000, Richardson, Texas 75080",(972) 233-0400
Lifecare LTACH Wound Care Clinic,TABS2025006626,LifeCare Hospital of Plano,"2329 Parker RD, Carrollton, TX 75010",Denton,1/1/2025,6/1/2025,"$1,250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","APPROXIMATELY 5,000 SF RENOVATION OF AN EXISTING  LTACH FOR CONVERSION TO AN OUTPATIENT WOUND CARE CLINIC. THE CLINIC WILL BE SEPARATED FROM THE HOSPITAL BY A 2-HOUR RATED OCCUPANCY SEPARATION WALL.","5,005 ft 2",Healthcare Realty,"3900 Junius Street Suite 640, Dallas, Texas 75246",(469) 617-0657,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006626,,GHC Architects,"5000 Quorum Drive St 500, Dallas, Texas 75254",(214) 378-9810
