project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
Karis Orthodontics,TABS2025007665,Karis Orthodontics,"3964 Stata Highway 121 suite 450, Lewisville, TX 75056",Denton,1/13/2025,4/28/2025,"$310,855",New Construction,"This project is privately funded, on private land for private use.",Interior finish out of existing shell,"1,708 ft 2",Bright Realty,"4400 State Highway 121 suite 900, Lewisville, Texas 75056",(972) 410-6562,Dr. Grace Lee,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007665,,,
Pilot Point 2024 Downtown Sidewalk Improvements Phase II,TABS2025007643,City of Pilot Point,"102 E Main Street, Pilot Point, TX 76258",Denton,1/13/2025,6/16/2025,"$145,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Various Sidewalk installations near downtown square.,"12,200 ft 2","City of Pilot Point, TX","102 E Main Street, Pilot Point, Texas 76258",(940) 686-2165,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007643,,,
SHM Pier 121 X1 Dock,TABS2025007631,Safe Harbor Pier 121,"1481 E. Hillpark Rd, Lewisville, TX 75056",Denton,1/13/2025,5/30/2025,"$2,400,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Build a covered floating boat dock with (26) 40' slips,"7,900 ft 2","SHM Pier 121, LLC","14785 Preston Rd, Dallas, Texas 75254",(469) 569-2245,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007631,,,
BBQ NATION,TABS2025007599,BBQ NATION,"8275 JUDGES WAY #100B, Frisco, TX 75036",Denton,1/17/2025,7/31/2025,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",FINISH OUT FOR KOREAN BBQ RESTAURANT,"3,055 ft 2",VARUN ARORA,"15020 PIZARRO CT, LITTLE ELM, Texas 75068",(469) 400-4225,EMMANUEL POTHALA,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007599,"JAX DESIGN STUDIO, LLC","1522 TURNING LEAF LANE, GARLAND, Texas 75040",(214) 477-4112
Cath Replacement,TABS2025007583,Medical City Denton,"3535 S Interstate 35, Denton, TX 76210, Denton, TX 76210",Denton,1/6/2025,4/7/2025,"$1,110,328",Renovation/Alteration,"This project is privately funded, on private land for private use.","RENOVATION OF A CATH LAB, EQUIPMENT ROOM, AND CENTRAL CONTROL ROOM TO INCLUDE NEW FINISHES AND EQUIPMENT.","2,362 ft 2",Cole Kendrick,"3535 S Interstate 35, Denton, TX 76210, Denton, Texas 76210",855-477-3762,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007583,,,
Ultimate Life Church Tennant Buildout,TABS2025007580,Ultimate Life Church,"419 S Elm Street, Denton, TX 76205",Denton,1/6/2025,3/3/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Remodel of an existing Type III-B building into a church facility with A-3 use,"9,540 ft 2",SB Wells Downtown LLC,"1400 Dallas Dr, Denton, Texas 76205",(940) 209-0107,Pastor Russell Lewis,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007580,Risepointe,"200 N Harrison St #101, Algonquin, Illinois 60102",(719) 726-4074
Shady Shores Rd (Three Segments),TABS2025007570,Shady Shores Rd,"W. Swisher to Silktree, Parkside to N. of Dobbs and S. of W. Shady Shores to W. Shady Shores, Shady Shores, TX 76208",Denton,5/1/2025,5/1/2026,"$900,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Three bridge replacements and roadway reconstruction on new vertical alignment with the addition of a shared use path on the west side of the roadway for a total project length of 0.864 miles. ,"43,500 ft 2",Denton County,"1505 E McKinney Street Suite 175, Denton, Texas 76209",(940) 349-3412,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007570,"Halff Associates, Inc.","2601 Meacham Blvd. Suite 600, Fort Worth, Texas 76137",(817) 847-1422
NTX Remodel,TABS2025007540,NTX Embedded,"2423 Welwood Dr, Carrollton, TX 75093",Denton,1/6/2025,4/1/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Turning existing warehouse space into engineering lab and offices,"2,500 ft 2",BR2J Properties LLC,"2423 Welwood Dr, Carrollton, Texas 75010",(214) 213-7260,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007540,,,
Peterbilt Division West Satellite Parking Lot Expansion,TABS2025007522,Peterbilt Division,"1700 Woodbrook Street, Denton, TX 76205",Denton,8/22/2024,2/7/2025,"$2,292,715",Renovation/Alteration,"This project is privately funded, on private land for private use.",Expanding the existing parking lot,"177,980 ft 2",PACCAR Inc.,"777 106th Avenue, NE Bellevue, Washington 98004",(817) 692-9196,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007522,Westwood,"7557 Rambler Road Suite 1400, Dallas, Texas 75231",(972) 235-3031
Basement  Office Remodel,TABS2025007515,513 W. Oak,"513 W Oak Street Suite 125, Denton, TX 76201",Denton,8/16/2024,12/16/2024,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel bsement suite of existing office building,"2,967 ft 2",513 W. Oak LLC,"3201 Carmel Street, Denton, Texas 76205",(214) 578-3361,JP Sims,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007515,,,
Wingstop 0969 Frisco Remodel,TABS2025007496,Wingstop,"8811 Teel Parkway, Suite 140, Frisco, TX 75034",Denton,1/20/2025,2/9/2025,"$175,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant improvement - work includes but is not limited to, interior finishes, restroom accessories, extension of utilities and modification of new interior layout. No exterior or site modifications. Existing parking to remain unchanged. ","1,900 ft 2",Frisco Teel LLC,"5899 Preston Rd, Ste 501, Frisco, Texas 75034",(214) 223-6402,Wingstop - Andrew Smith,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007496,"HFA-AE, LTD.","1705 S Walton Blvd, Bentonville, Arkansas 72712",(479) 273-7780
The Ridge at Northlake Phase 4 - Streetscape,TABS2025007487,The Ridge at Northlake Amenity Center,"Robson Ranch Road and Clevland Gibbs Road, Northlake, TX 76226",Denton,1/15/2025,5/15/2025,"$2,050,267",New Construction,"This project is privately funded, on private land for private use.","Trails, signage, and planting. Total of 295,000 sf","295,000 ft 2",Taylor Morrison,"2500 Legacy Drive, Frisco, Texas 75034",214-974-0906,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007487,TBG Partners,"2001 Bryan Street, Suite 1450, Dallas, Texas 75201",214-744-0757
The Ridge at Northlake Phase 4 - Amenity Center,TABS2025007485,The Ridge at Northlake Amenity Center,"Evergreen Terrace and Roundrock Road, Northlake, TX 76226",Denton,1/15/2025,5/15/2025,"$2,050,267",New Construction,"This project is privately funded, on private land for private use.","Parking, trails, pavilion, pool, and pickleball courts. Total of 76,700 sf","76,700 ft 2",Taylor Morrison,"2500 Legacy Drive, Frisco, Texas 75034",214-974-0906,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007485,TBG Partners,"2001 Bryan Street, Suite 1450, Dallas, Tennessee 75201",214-744-0757
ForestLeaf Dental of Justin,TABS2025007423,ForestLeaf Dental of Justin,"1101 Highway 156  unit 9&10, Justin, TX 76247",Denton,1/11/2025,3/18/2025,"$277,500",New Construction,"This project is privately funded, on private land for private use.",interior finish out of existing shell,"1,845 ft 2","Glen Coe Enterprises, LLC","14942 Hwy. 156 S., Justin, Texas 76247",(817) 797-0782,Dr. Hui Zhang,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007423,,,
Kimley Horn Denton (39-24189-00),TABS2025007417,Texas Building,"100 W Oak St Suite 300, Denton, TX 76201",Denton,2/3/2025,4/28/2025,"$157,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior finish out,"2,611 ft 2",Colo Real Estate Managment,"3910 Teasley Lane, Denton, Texas 75065",(940) 758-8411,Joshua Bielik,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007417,DLR Group,"2500 Pacific Ave Suite 1600, Dallas, Texas 75226",214-747-2511
"Interior Renovation for 525 S Loop 288, Suite 105",TABS2025007309,Orison Holdings,"525 S Loop 288 Suite 105, Denton, TX 76205",Denton,1/21/2025,5/5/2025,"$50,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Renovation including the remodeling of restrooms.,901 ft 2,"Ramtino, LLC","525 S Loop 288 Suite 105 Suite 150, Denton, Texas 76205",(940) 382-5003,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007309,Bates Martin Architects,"2220 San Jacinto Blvd Suite 330, Denton, Texas 76205",(940) 387-4881
Dallas Stars Arena CoMerica South VIP Bar,TABS2025007279,CoMerica,"1 Cowboy Way, Frisco, TX 75034",Denton,12/13/2024,2/14/2025,"$216,539",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","widen doorway, install new millwork","2,000 ft 2",City of Frisco,"6101 Frisco Square Blvd, Frisco, Texas 75034",(469) 486-0652,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007279,Dennis Mergell,"113 Lynn Ave. Suite 300, Lewisville, Texas 75057",(469) 968-9496
"24-0307 Chipotle Shell - (Little Elm Parkway) Little Elm, TX",TABS2025007274,Chipotle Mexican Grill,"2701 Little Elm Pkwy, Little Elm, TX 75068",Denton,3/17/2025,7/31/2025,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.",New Construction Shell/TI,"2,325 ft 2",Rosebriar Holding Corporation,"PO Box 541208, Dallas, Texas 75354",214-455-4393,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007274,Rogue Architects,"513 Main St, Fort Worth, Texas 76102",817.529.6882
sugaringLA little Elm,TABS2025007196,shops at panther creek,"11700 FM 423 suite 280, Little Elm, TX 75068",Denton,1/15/2025,3/15/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","tenant finish out of first generation space with a lobby, treatment room for waxing and back of house and restroom","1,216 ft 2",KM Realty Management LLC,"4849 greenville ave suite 100-131, dallas, Texas 75206",(214) 478-3855,Kemi Ogundele,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007196,Apogee,"16775 addison road suite 350, addison, Texas 75001",(214) 632-3123
Quick Quack Car wash,TABS2025007168,Quick Quack Car wash,"4906 Main St, The Colony, TX 75056",Denton,2/7/2025,6/5/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",This is an existing building with the site scope to update canopies and equipment,"4,499 ft 2",V&N Auto LLC,"4906 Main Street, The Colony, Texas 75056",(469) 412-3575,Lone Star Builders-Michelle Graham,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007168,"ID Studio4, LLC","6201 Campus Circle Dr E, Irving, Texas 75063, Texas 75063",(469) 579-2227
