project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
NORTHWEST REGIONAL AIRPORT,TABS2025014855,NORTHWEST REGIONAL AIRPORT,"327 BON AIRE DR, Roanoke, TX 75218",Denton,5/8/2025,6/30/2025,"$600,000",New Construction,"This project is privately funded, on private land for private use.",regional airport,"38,500 ft 2",daniel jenkins,"8921 charles, roanoke, Texas 76226",940,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014855,,,,
TOBIAS,TABS2025014839,SACRED SMILES,"7251 CANYON FALLS RD. SUITE 401, Northlake, TX 76226",Denton,4/13/2025,7/31/2025,"$331,440",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",INTERIOR FINISH OUT FOR DENTAL OFFICE ,"2,600 ft 2","AG NORTHLAKE RE HOLDINGS, LLC","600 N ROBINSON AVE SUITE 1000, OKLAHOMA CITY, Oklahoma 73102",405-393-4774,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014839,,,,
RaceTrac #685 Little Elm,TABS2025014793,RaceTrac #685 Little Elm,"2100 FM 423 Little Elm, Little Elm, TX 75068",Denton,6/2/2025,12/31/2025,"$835,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Modify existing equipment line to incorporate new Grab-N-Go offer, remove equipment & relocate equipment throughout sales floor.","6,000 ft 2",RaceTrac Inc.,"200 Galleria Parkway Southeast Suite 900, Atlanta, Georgia 30339",(770) 431-7600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014793,Hill Foley Rossi,"3680 Pleasant Hill Road Suite 200, Duluth, Georgia 30096",(770) 622-9858,
Advantage Hail Repair,TABS2025014792,Advantage Hail Repair,"3815 Market Street Suite 330, Denton, TX 76205",Denton,5/19/2025,12/1/2025,"$825,000",New Construction,"This project is privately funded, on private land for private use.",Construction of a standalone building for auto dent repair,"5,050 ft 2",Avantage Prime Investments,"400 Marbella Suite 150, Propser, Texas 75078",(806) 206-9483,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014792,Bates Martin Architects,"2220 San Jacinto Blvd Suite 330, Denton, Texas 76205",(940) 387-4881,
"TETRAPAK - DENTON, TX - WEX IMPLEMENTATION",TABS2025014787,TETRAPAK,"3300 AIRPORT RD, Denton, TX 76207",Denton,11/1/2025,3/31/2026,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Redesign of existing office space with latest company standards to be completed in phases at a total of 11,840SF.","11,840 ft 2",TETRA PAK MATERIALS LP,"3300 AIRPORT RD, DENTON, Texas 76207",(940) 923-1183,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014787,"JLL Architecture, LLC","4300 E CAMELBACK RD, STE 100, PHOENIX, Arizona 85018",(480) 401-3660,
Encore Memory Day Care Center at Lewisville,TABS2025014783,Encore Memory Day Care Center,"1439 Moccassin Trail, Lewisville, TX 75077",Denton,5/1/2025,8/29/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel existing child day care facility into adult day care facility.,"4,900 ft 2","Lester Family Holdings V, LLC","2928 Blue Quail Lane, Bedford, Texas 76021",(817) 791-7076,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014783,"bldg. Architecture, PLLC","4400 TX-121 Suite 334, Lewisville, Texas 75056",(214) 244-8432,
Sanger Bank second floor,TABS2025014742,Ssanger Bank,"1405 West Chapman, Sanger, TX 76266",Denton,3/31/2025,3/31/2030,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",An alteration on the second floor,"5,282 ft 2",Sanger Bank,"1405 West Chapman, Sanger, Texas 76266",(940) 458-4600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014742,Bates Martin Architects,"2220 San Jacinto Blvd.  #330, Denton, Texas 76205",(940) 387-4881,
Mosaic Phase 4A,TABS2025014741,N/A; Residential,"35' SW Of Miscellany & Triadic Lane, Celina, TX, Celina, TX 75078",Denton,4/30/2025,4/30/2026,"$7,500,000",New Construction,"This project is privately funded, on private land for private use.","Paving, storm, water/sewer, and grading of the site for residential homes to be built and sold to potential homeowners.","1,934,325 ft 2","Tellus Texas I, LLC","5301 Headquarters Drive Suite 120, Plano, Texas 75024",4-695-322-0689,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014741,Spiars Engineering,"765 Custer Road Suite 100, Plano, Texas 75075",(469) 766-1778,
Fields West,TABS2025014702,Building L Mixed Use,"14000 Wentwood, Frisco, TX 75033",Denton,7/1/2025,3/1/2027,"$19,100,000",New Construction,"This project is privately funded, on private land for private use.","Commercial mixed-use building with a total of 105,166 SF","105,166 ft 2",FW Development LLC,"7901 Windrose Avenue Suite 2606, Plano, Texas 75024",214-473-9700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014702,Gensler,"5005 Greenville Avenue, Dallas, Texas 75206",214.273.1572,
Fields West,TABS2025014699,Building K Mixed Use,"14100 Wentwood, Frisco, TX 75033",Denton,7/1/2025,3/1/2027,"$18,650,000",New Construction,"This project is privately funded, on private land for private use.","Commercial mixed-use building with a total of 114,630 SF","114,630 ft 2",FW Development LLC,"7901 Windrose Avenue Suite 2606, Plano, Texas 75024",214-473-9700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014699,Gensler,"5005 Greenville Avenue, Dallas, Texas 75206",214.273.1572,
