project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url
Carrollton Fire Station No. 6,TABS2025026027,Carrollton Fire Station No. 6,"1562 W. Frankford Rd, Carrollton, TX 75007",Denton,12/1/2025,2/27/2026,"$11,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","1-STORY 3 APPARATUS FIRE STATION WITH A MEZZANINE.  AREAS INCLUDE A DAY ROOM, BUNK ROOMS, AND A SHOP.  THE BUILDING WILL ALSO INCLUDE AN ICC 500  STORM SHELTER FOR BUILDING OCCUPANTS ","15,000 ft 2","City of Carrollton, Texas","1945 E. Jackson Road, Carrollton, Texas 75006",972.466.3197,Hoefer Welker,"500 N. Akard St. Ste. 2450, Dallas, Texas 75201",(214) 704-2071,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025026027
New District Central Transportation,TABS2025025978,District Central Transportation,"1950 Texan Dr, Justin, TX 76247",Denton,9/15/2025,6/15/2026,"$18,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",New Construction,"19,863 ft 2",Northwest ISD,"1800 SH 114 #500, justin, Texas 76247",817-215-0000,Huckabee,"801 Cherry St. #500, Ft. Worth, Texas 76102",(800) 687-1229,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025978
RaceTrac #0528 Denton University,TABS2025025952,RaceTrac #0528 Denton University Drive,"2804 W. University Drive, Denton, TX 76201",Denton,1/15/2026,9/15/2027,"$835,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Modify existing equipment line to incorporate new Grab-N-Go offer, remove equipment & re-locate equipment throughout sales floor. Scope to include architectural, plumbing, mechanical and electrical trades.","5,928 ft 2",RaceTrac Inc.,"200 Galleria Parkway Southeast Suite 900, Atlanta, Georgia 30339",(770) 431-7600,Hill Foley Rossi & Associates,"3680 Pleasant Hill Road Suite 200, Duluth, Georgia 30096",(770) 622-9858,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025952
7 Brew Coffee - Sanger,TABS2025025949,7 Brew Coffee,"1645 W Chapman Dr., Sanger, TX 76266",Denton,10/20/2025,2/27/2026,"$1,250,000",New Construction,"This project is privately funded, on private land for private use.",Construction of a 541sf pre-fabricated drive-through only coffee shop,541 ft 2,TYLER-LONGVIEW 7 BREW LLC,"PO Box 12248, Wichita, Kansas 67277",620-481-1984,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025949
Hancock Whitney Bank,TABS2025025910,Shops at Panther Creek,"11700 FM 423 Suite 290, Little Elm, TX 75068",Denton,8/14/2025,11/20/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior construction in new shell space,"1,664 ft 2",KM 423 Partners LP,"5555 San Felipe Street Suite 510, Houston, Texas 77056",(713) 690-2700,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025910
EMLS NE Office Rebuild,TABS2025025857,Denton Crossing Building 2,"600 Western Blvd., Denton, TX 76027",Denton,9/1/2025,12/8/2025,"$366,000",New Construction,"This project is privately funded, on private land for private use.",Rebuilding the original office due to building damage ,"2,000 ft 2",Scannell Properties,"8201 Preston Rd #725, Dallas, Texas 75225",815.216.0615,Alliance Architects,"1600 N. Collins Blvd, Richardson, Texas 75080",(972) 233-0400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025857
StudioRes Northlake TX,TABS2025025806,Marriott StudioRes,"Chadwick Farms Lot 4B, Northlake, TX 76262",Denton,1/1/2026,1/1/2028,"$10,000,000",New Construction,"This project is privately funded, on private land for private use.","The project consists of a four story, wood framed type 5-A, 124 guestroom, 56,823 square foot Marriott StudioRes hotel. The building contains separated B and R-1 occupancies. An automatic sprinkler system is provided per NFPA 13 standards.  A fire de","56,823 ft 2",Concord Hospitality,"11410 Common Oaks Drive, Raleigh, North Carolina 57614",(919) 455-2900,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025806
The UPS Store,TABS2025025685,UPS,"1624 FM 243 Suite 300, Little Elm, TX 75036",Denton,10/6/2025,10/24/2025,"$74,328",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovate current space into new UPS store, includes new flooring, new lighting, new fixtures.","1,526 ft 2",Fernando Perez,"1624 FM 243 Suite 300, Little Elm, Texas 75036",(972) 946-4099,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025685
Chaparral Park Phase I - Amenity Center,TABS2025025667,Chaparral Park Phase I - Amenity Center,"Chaparral Park Block F Lot 1X, Oak Point, TX 75068",Denton,8/15/2025,5/31/2026,"$2,000,000",New Construction,"This project is privately funded, on private land for private use.","Residential amenity center including 2,071 sq ft. restroom building, pool, playground, shade structures, sidewalks, and parking area.","2,071 ft 2","Bloomfield Homes, LP","1050 E. State Highway 114, Suite 210, Souhtlake, Texas 76092",(972) 839-3882,Johnson Volk Consulting,"704 Central Parkway East, Suite 1200, Plano, Texas 75074",(972) 201-3100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025667
335.002 - Bldg A Spec Office,TABS2025025649,Waters Ridge,"1940 Lakepoint Drive, Lewisville, TX 75057",Denton,9/1/2025,11/24/2025,"$237,500",New Construction,"This project is privately funded, on private land for private use.",First time finish out within shell building,"45,738 ft 2",Gillett Commercial,"5050 Collin McKinney Pkwy, McKinney, Texas 75070",949.422.7227 ,Meinhardt & Associates,"14643 Dallas Pkwy, suite 636, Dallas, Texas 75254",1-972-934-5406,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025649
335.003 - Bldg C Spec Office,TABS2025025648,Waters Ridge,"1980 Lakepoint Drive, Lewisville, TX 75057",Denton,9/1/2025,11/24/2025,"$188,800",New Construction,"This project is privately funded, on private land for private use.",First time finish out within shell building,"50,630 ft 2",Gillett Commercial,"5050 Collin McKinney Pkwy, McKinney, Texas 75070",949.422.7227 ,Meinhardt & Associates,"14643 Dallas Pkwy, suite 636, Dallas, Texas 75254",1-972-934-5406,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025648
DAL-595 New Fuel Center,TABS2025025641,DAL-595 Fuel Center,"1312 Rancho Canyon Way, Fort Worth, TX 76052",Denton,1/26/2026,9/18/2026,"$1,100,000",New Construction,"This project is privately funded, on private land for private use.",Construct New Fuel Center on Kroger-owned lot. Total SF is 179.,179 ft 2,The Kroger Company,"751 Freeport Parkway, Coppell, Texas 75019",(469) 645-7959,Winkelmann & Associates Inc.,"6750 Hillcrest Plaza Dr. Ste 215, Dallas, Texas 75230",(972) 490-7090,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025641
Stryker,TABS2025025517,Stryker,"571 Silveron Blvd. 2nd Floor, Flowermound, TX 75028",Denton,8/15/2025,12/7/2025,"$850,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"77,645 ft 2",CABOT PROPERTIES,"5005 LBJ FREEWAY, STE. 860, Dallas, Texas 75244",(469) 912-7462,ENTOS DESIGN,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025517
