ProjectId,ProjectNumber,DataVersionId,ProjectName,ProjectStatus,ProjectCreatedOn,FacilityName,City,County,TypeOfWork,EstimatedCost,EstimatedStartDate,EstimatedEndDate,URL
ddc4cee0-f986-43d0-bbe4-bc9a2292bd08,TABS2026005980,900001,GET N GO,3008,2025-11-14T23:13:09.5,"GET N GO, LOT 1 BLOCK A",985,2061,9001,1500000.0,2026-01-02T00:00:00,2026-09-04T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005980
629afd6a-2288-41d8-9f25-e5aff298765c,TABS2026005965,900001,HIdden Cove Park,3008,2025-11-14T17:08:07.91,Restroom Building,1727,2061,9001,50000.0,2025-12-01T00:00:00,2026-03-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005965
a2c8e77e-5b54-456c-9290-503b492daca9,TABS2026005955,900001,Crave Cookies Northlake,3008,2025-11-14T15:44:31.67,Northlake Commons,1246,2061,9002,230000.0,2025-11-17T00:00:00,2026-03-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005955
31fb411a-c7f3-43e6-a992-b75a7c75f46a,TABS2026005952,900001,2026 Summer Projects - Virginia Gallian Child Development Center,3008,2025-11-14T15:30:48.58,Virginia Gallian Child Development Center,445,2061,9002,612000.0,2026-06-01T00:00:00,2026-07-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005952
0a52f62f-d659-4ced-a0e5-a1b8a7f91d0c,TABS2026005949,900001,2026 Summer Projects - Cross Oaks Elementary School,3008,2025-11-14T15:22:57.867,Cross Oaks Elementary School,396,2061,9002,154600.0,2026-06-01T00:00:00,2026-07-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005949
f4d0bc2c-cdb3-4d8c-99e2-588c8a9c6361,TABS2026005948,900001,2026 Summer Projects - Providence Elementary School,3008,2025-11-14T15:12:55.12,Providence Elementary School,1409,2061,9002,1600000.0,2026-06-01T00:00:00,2026-07-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005948
b88c57e8-0a39-45c9-8338-c8b291ddf36e,TABS2026005940,900001,ESS 3436 Lewisville Expansion,3008,2025-11-14T14:46:39.233,ESS 3436 Lewisville Expansion,985,2061,9001,4500000.0,2026-05-01T00:00:00,2027-05-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005940
b9c1fe73-2edd-4858-af47-9fd855eacbb3,TABS2026005878,900001,Pine Cone Therapy,3008,2025-11-13T18:04:38.107,Pine Cone Therapy,445,2061,9002,100000.0,2025-12-01T00:00:00,2026-01-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005878
59d57565-e986-43e1-8ee1-f9b1ca30fd20,TABS2026005874,900001,Bryson Ranch Pahase 1B,3008,2025-11-13T17:01:22.507,Bryson Ranch,1352,2061,9001,246400.0,2025-04-01T00:00:00,2026-07-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005874
035f9811-4ecc-46db-9fb5-7d7345a44cdf,TABS2026005838,900001,Kroger #572 Remodel,3008,2025-11-13T14:22:37.127,Kroger,104,2061,9002,650000.0,2026-02-16T00:00:00,2026-06-24T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005838
5142e1c0-781a-4495-995b-df2a94b86e9d,TABS2026005835,900001,LITTLE PANTHER SHOPS 2,3008,2025-11-13T13:48:25.967,LITTLE PANTHER SHOPS 2,1000,2061,9001,1600000.0,2026-02-01T00:00:00,2026-07-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005835
