ProjectNumber,FacilityName,City,County,TypeOfWork,EstimatedCost,ProjectStatus,ProjectId,DataVersionId,ProjectName,ProjectCreatedOn,EstimatedStartDate,EstimatedEndDate,URL
TABS2026019843,Advantage Providence Storage,75,2061,9001,6500000.0,3008,11929fa3-566a-4c0a-847d-853fe1ad90ca,900001,ADV Providence Storage,2026-05-08T16:48:03.743,2026-07-01T00:00:00,2027-10-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019843
TABS2026019753,DFW North Vacancy - Make Ready,586,2061,9001,100000.0,3008,ea49a8c2-ecb3-4bdb-ab60-8dbd418f158b,900001,DFW North Vacancy - Make Ready,2026-05-08T08:58:40.457,2026-05-15T00:00:00,2026-07-03T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019753
TABS2026019736,HEB Carrollton 833 FSCW,269,2061,9001,1200000.0,3008,d55c5383-8e64-4b7e-83f5-5762639299e3,900001,HEB Carrollton FSCW,2026-05-07T16:58:30.603,2026-08-10T00:00:00,2027-11-03T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019736
TABS2026019735,HEB Carrollton 833,269,2061,9001,22800000.0,3008,34ada4c6-e87b-4c6d-a2e8-2a3bd2ef84d5,900001,HEB Carrollton - Store,2026-05-07T16:52:37.59,2026-08-10T00:00:00,2027-11-03T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019735
TABS2026019722,Extra Space Storage,623,2061,9002,13061300.0,3008,d6759c19-bed4-4569-8e6d-0e605128f8ea,900001,Extra Space Storage #3418,2026-05-07T15:47:02.98,2026-05-15T00:00:00,2026-05-29T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019722
TABS2026019696,Little Elm Branch,1000,2061,9001,1334070.0,3008,49909025-5849-4485-b047-3ae86c0b3e99,900001,DATCU Little Elm,2026-05-07T13:45:42.24,2026-06-01T00:00:00,2027-01-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019696
TABS2026019681,Kingdom Hall,586,2061,9002,265000.0,3008,8a6c2e83-cc4e-4db3-82d1-ad0f02cfea13,900001,Flower Mound Church Building,2026-05-07T12:48:29.087,2027-09-28T00:00:00,2028-01-08T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019681
TABS2026019625,-,985,2061,9002,540000.0,3008,54937181-4a12-43de-8e90-f169e604db39,900001,NEVERMORE TAVERN,2026-05-06T23:13:28.187,2026-07-01T00:00:00,2026-10-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019625
TABS2026019607,Multi-Tenant Shell,606,2061,9001,3000000.0,3008,0a2526a0-8fd8-4c68-b8a7-ae530828766a,900001,"Multi-Tenant Shell - Fort Worth, TX",2026-05-06T16:23:52.043,2026-08-31T00:00:00,2027-02-28T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019607
TABS2026019533,Menchie's Frozen Yogurt,623,2061,9002,180000.0,3008,21d49950-e39c-4a7b-aef7-d7056d42a2a0,900001,"Menchie's Frozen Yogurt - Frisco, TX",2026-05-06T11:02:03.543,2026-08-11T00:00:00,2026-09-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019533
