ProjectId,ProjectNumber,ProjectName,ProjectCreatedOn,ProjectStatus,FacilityName,City,County,TypeOfWork,EstimatedCost,DataVersionId,EstimatedStartDate,EstimatedEndDate
5e809403-3a23-4aa8-831d-d52603171fc1,TABS2024009857,Fairview Replacement Elementary School,2024-01-23T10:20:15.267,3008,Fairview Replacement Elementary School,1607,2091,9003,45000000.0,900001,2024-03-01T00:00:00,2025-08-01T00:00:00
ac744868-066f-4aeb-9bed-df858ed89b90,TABS2024009854,Crutchfield Replacement Elementary School,2024-01-23T10:15:09.72,3008,Crutchfield Replacement Elementary School,1607,2091,9001,45000000.0,900001,2024-03-19T00:00:00,2025-06-30T00:00:00
16494883-835e-4c65-9e11-550bc8c32239,TABS2024009836,Dannel Funeral Chapel Renovation,2024-01-23T07:53:17.2,3008,Dannel Funeral Home,1607,2091,9002,250000.0,900001,2024-01-22T00:00:00,2024-04-18T00:00:00
7d627a4f-56d5-48a2-a117-29feb7a3f138,TABS2024009565,Denison Event Center,2024-01-18T14:40:01.817,3008,Denison Event Center,443,2091,9002,700000.0,900001,2024-04-01T00:00:00,2024-08-01T00:00:00
c6ca4ffd-980a-41f6-bdbf-3d9d99b36ab4,TABS2024009017,coca cola oning,2024-01-11T10:36:01.987,3008,coca cola,1607,2091,9003,90000.0,900001,2024-01-22T00:00:00,2024-02-15T00:00:00
77b60876-7620-431f-9b8f-08db8f5299c8,TABS2024008998,Ironroot Republic Expansion,2024-01-11T08:43:20.157,3008,Ironroot Republic Distillery,443,2091,9001,2700000.0,900001,2024-02-26T00:00:00,2024-07-15T00:00:00
8a8338b3-570b-4eed-beb0-f89e80e641f5,TABS2024008753,Sherman Gateway,2024-01-08T12:45:08.273,3008,Sherman Gateway,1607,2091,9001,7760000.0,900001,2024-04-02T00:00:00,2026-06-01T00:00:00
df90c43b-5734-4987-bba4-b99c70ca6cea,TABS2024008230,CoPay Development - New Clinic / South Wing Addition,2023-12-26T21:27:42.387,3008,Center for Family Medicine,1607,2091,9003,1550000.0,900001,2024-01-08T00:00:00,2024-08-01T00:00:00
055cda34-86e8-4807-9847-3165ed77682a,TABS2024008129,StrideCare Suite 170 Interior Finish-out,2023-12-22T10:22:32.407,3008,Gateway Central Building,443,2091,9002,500000.0,900001,2023-12-29T00:00:00,2024-05-31T00:00:00
3b690a96-9c97-47af-8306-ef9c15597297,TABS2024008089,Van Alstyne Elementary School #3,2023-12-21T16:50:20.567,3008,Elementary School #3,1787,2091,9001,37322500.0,900001,2024-05-01T00:00:00,2025-06-01T00:00:00
