project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
MODERN Building Lofts,TABS2022017299,Modern Building,"213 N Travis Street, Sherman, TX 75090",Grayson,5/1/2022,9/1/2024,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation and adaptive re-use of 5,806sf of the existing building's 2nd and 3rd floors for residential lofts.","5,806 ft 2","RP Sherman Properties II, LLC","1200 N East Street, Sherman, Texas 75090",(972) 832-8011,"David Baca Studio, LLC  dba  BACA","100 N Travis Street, No. 500A, Sherman, Texas 75090",(903) 893-5800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022017299,
Home Place Partners - Gallagher Warehouse,TABS2022017021,2309 Gallagher Rd.,"2309 Gallagher Rd, Sherman, TX 75090",Grayson,6/1/2022,12/31/2023,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.",Single story PEMB on slab foundation - shell building,"7,500 ft 2","Home Place Partners, LP","P.O. Box 2212, Sherman, Texas 75091",(903) 815-6221,Broadstone Design Group,"120 E. Main St, Forney, Texas 75126",(214) 295-5280,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022017021,
Car Wash,TABS2022016937,Classic Chevrolet Cadillac,"899 S. US Hwy 75, Denison, TX 75020",Grayson,6/1/2022,8/31/2022,"$250,000",New Construction,"This project is privately funded, on private land for private use.",Structure to house Car wash equipment,"1,466 ft 2",DEN Partners; LTD,"1101 SH 114, Grapevine, Texas 76051",(817) 756-6866,Callahan Freeman Architects,"1150 E. Kennedale Pkwy, Kennedale, Texas 76060",(817) 478-1765,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022016937,
QuikTrip #1915,TABS2022015737,QuikTrip #1915,"2801 Texoma Pkwy, Sherman, TX 75090",Grayson,8/1/2022,1/30/2024,"$725,000",New Construction,"This project is privately funded, on private land for private use.","To construct a 5,312 s.f. convenience store with retail gasoline sales.","5,312 ft 2",QuikTrip Corporation,"1120 North Industrial Blvd, Euless, Texas 76039",(817) 786-3197,"Daniel D. Filuk, Architect","300 West Clarendon Suite 320, Phoenix, Arizona 85013",(602) 234-1868,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022015737,
Covenant Development - South Entry & Hallway,TABS2022015417,Formerly Cigna,"4616 S. Hwy 75, Denison, TX 75020",Grayson,6/1/2022,12/1/2022,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Demo of existing window and partial tilt wall exterior wall in order to ass entry double door. Demo existing ceiling. Add gyp walls to create a hallway w new flooring, wall base, paint, ceiling and reuse existing lighting fixtures.","2,093 ft 2","Covenant Development Holdings, LLC.","PO Box 670, Sherman, Texas 75091",(903) 893-8500,"M. Arthur Gensler & Associates, Inc.","5005 Greenville Ave, Dallas, Texas 75206",214-866-2408,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022015417,
GNC,TABS2022014925,Sherman Commons,"3903 US 75, Sherman, TX 75090",Grayson,4/1/2022,6/3/2022,"$147,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","interior tenant remodel, new partitions, new lighting, new finishes","1,554 ft 2",Sherman Commons LP,"2100 McKinney Ave., Suite 800, Dallas, Texas 75201",(214) 863-3282,LGA Partners,"1425 Forbes Ave., Suite 400, Pittsburgh, Pennsylvania 15219",(412) 243-3430,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022014925,Jeff Litchfield
Be Air Village Multi-Family Phase1,TABS2022014835,Club/ Leasing Center,"Corner of FM 1417 & Bel Air Boulevard, Sherman, TX 75090",Grayson,6/1/2022,6/1/2024,"$1,400,000",New Construction,"This project is privately funded, on private land for private use.","Clubhouse and leasing center for a new 310 unit apartment complex in Sherman, TX","8,000 ft 2","Terra Perpetua, LLC ","2800 Dallas Pkwy, Suite 324, Plano, Texas 75093",972.265.6910 ,HEDK Architects,"4595 Excel Parkway, Addison, Texas 75001",214.520.8878,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022014835,
Suite 305 - Platinum Dermatology Partners,TABS2022014183,Sycamore Medical Office Building,"230 E. Sycamore Street, Sherman, TX 75090",Grayson,3/15/2022,12/12/2022,"$550,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","Tenant improvement for dermatology office including exam, procedure, doctor's office, healthcare records keeping, nurses' station, etc.","4,719 ft 2","Sycamore Group, LLC","252 E. Evergreen, Sherman, Texas 75090",(903) 891-3116,BACA Studio,"100 N. Travis, Ste. 500, Sherman, Texas 75090",(903) 893-5800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022014183,Dr. Mark Koone
Suite 303 - Texoma Physicians Group Tenant Improvement,TABS2022014180,Sycamore Medical Office Building,"230 E. Sycamore Street, Sherman, TX 75090",Grayson,3/15/2022,1/3/2023,"$550,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","Tenant improvement for pediatrics office including exam, procedure, doctor's offices, healthcare records keeping, nurses station, etc.","2,748 ft 2","Sycamore Group, LLC","252 E. Evergreen, Sherman, Texas 75090",(903) 891-3116,BACA Studio,"100 N. Travis Ste. 500, Sherman, Texas 75090",(903) 893-5800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022014180,Dr. Joseph Lipscomb
Heritage Butchery & Barbeque,TABS2022014162,Heritage Butchery & Barbeque,"211 N US 75, Denison, TX 75020",Grayson,4/15/2022,9/1/2022,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Install cold storage unit inside kitchen area of existing restaurant building.  Modify plumbing/elec./HVAC add smokers at rear drive through lane.,"3,135 ft 2",Pawnee Holdings LLC,"PO Box 911843, Sherman, Texas 75091",(903) 821-1124,H&H Drafting,"305 W Woodard Suite 213, Denison, Texas 75020",903-463-9770,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022014162,Pete Gonzales
Suite 301- Weaver Construction,TABS2022013836,Sycamore Medical Office Building,"230 E. Sycamore Street, Sherman, TX 75090",Grayson,3/15/2022,12/28/2022,"$140,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","Tenant improvement for general office including offices, restrooms, and a kitchenette.","2,781 ft 2","Sycamore Group, LLC","252 E. Evergreen, Sherman, Texas 75090",(903) 891-3116,BACA Studio,"100 N. Travis, Ste. 500, Sherman, Texas 75090",(903) 893-5800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022013836,David Weaver
Sherman ISD Administration Board Room Repairs,TABS2022013554,Sherman ISD Administration Board Room,"2701 Loy Lake Road, Sherman, TX 75090",Grayson,5/17/2022,1/20/2023,"$225,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Flood Repairs to Administration Board Room,"2,094 ft 2",Sherman ISD,"2701 Loy Lake Road, Sherman , Texas 75090",(903) 891-6400,VLK Architects Inc,"2821 West 7th St Suite 300, Fort Worth, Texas 76107",(817) 633-1600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022013554,
Country Village Apartments,TABS2022013232,Country Village Apartments,"900 South FM 1417, Sherman, TX 75092",Grayson,3/15/2022,12/31/2023,"$500,000",New Construction,"This project is privately funded, on private land for private use.",Multi-family apartment complex,"74,000 ft 2","Country Village Development, LTD","520 Silicon Drive, Southlake, Texas 75076",(519) 630-3461,DFD Architects,"305 W. Willis St Suite 101, Leander, Texas 78641",(512) 259-4175,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022013232,
Public Auto Group Sherman,TABS2022013183,Public Auto Group Sherman,"1804 N. Hwy 75, Sherman, TX 75090",Grayson,4/1/2022,10/7/2022,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Office renovation,"4,442 ft 2",Public Auto Group,"203 Douglas Ave, Woodway, Texas 76712",(254) 253-0625,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022013183,
Suite 100 - Texoma Physicians Group Tenant Improvement,TABS2022013135,Sycamore Medical Office Bldg.,"230 E. Sycamore Street, Sherman, TX 75090",Grayson,3/15/2022,2/26/2023,"$550,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","Tenant improvement for pediatrics office including exam, procedure, x-ray, doctor's offices, healthcare records keeping, nurses station, etc.","9,108 ft 2","Sycamore Group, LLC","252 E. Evergreen, Sherman, Texas 75090",(903) 891-3116,Baca Studio,"100 N. Travis, Ste. 500, Sherman, Texas 75090",903-893-5800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022013135,Dr. Joseph Lipscomb
Buffalo Wild Wings,TABS2022013058,Sherman Town Center,"4066 N US Hwy 75, Sherman, TX 75090",Grayson,5/1/2022,5/22/2022,"$275,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel/refresh of existing facility. Paint, decor, lighting etc. Restroom full gut remodel with new ceiling, fixtures, lighting and accessories","4,097 ft 2","JMCR Sherman, LLC","10210 N Central Expressway Suite 210, Dallas, Texas 75231",(214) 478-5710,GHA Architecture,"14901 Quorum Dr. Suite 310, Dallas, Texas 75254",972 239 8884,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022013058,Mike Debello
Park Manor Senior Apartments,TABS2022012877,Park Manor Senior Community,"1725 S Farm to Market Rd 1417 1725 S Farm to Market Rd 1417, Sherman, TX 75092",Grayson,11/1/2022,11/1/2023,"$7,800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of Existing Community Building, Maintenance Building and Cottage Style Apartment Unit Buildings at Senior Housing Property","130,000 ft 2",Dominium Inc,"14555 Dallas Pkwy Suite 100, Dallas, Texas 75254",214-960-1162 ,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022012877,
Classic Chevrolet Cadillac of Denison,TABS2022012836,Classic Chevrolet Cadillac,"899 S. US Highway 75, Denison, TX 75020",Grayson,5/1/2022,7/1/2023,"$18,500,000",New Construction,"This project is privately funded, on private land for private use.","Construction of new automobile sales dealership on new site consisting of showroom, offices, service drive, 52 service bays, and associated site work.","75,200 ft 2","DEN partners, Inc.","1101 W. SH114, Grapevine, Texas 76051",(817) 756-6866,Callahan Freeman Architects,"1150 E. Kennedale Pkwy, Kennedale, Texas 76060",(817) 478-1765,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022012836,
