project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
10021_LALALAND SOUTHLAKE,TABS2025000413,KIMBALL CROSSING,"1020 E Levee St 100, Southlake, TX 76092",Tarrant,2/12/2025,5/30/2025,"$370,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","THE LEASED AREA IS TO REMAIN AS THE SAME, THE KITCHEN, RESTROOMS AND DINING AREA WILL REMAIN THE SAME AND WILL RECEIVE ONLY NEW FINISHES.FACADE TO BE CHANGED TO EIFS SYSTEM. NO EXTERIOR WINDOWS, DOORS HAVE BEEN CHANGED.","2,690 ft 2","Greenway – 1709/Eleven Partners II, L.P.","2808 Fairmount, Suite 100, DALLAS, Texas 75201",214-699-4844,FERNANDA RODRIGUEZ,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000413,,,
Alliance Chesser Boyer Bldg B Spec Office,TABS2025000394,Alliance Chesser Boyer Bldg B,"2917 Chesser Boyer Rd. Bldg B Suite 100, Fort Worth, TX 76111",Tarrant,10/14/2024,1/31/2025,"$250,000",New Construction,"This project is privately funded, on private land for private use.",Build-out of a speculative office within an existing shell building.,"2,314 ft 2","Chesser Boyer Venture, LP","820 Gessner Road Suite 1000, Houston, Texas 77024",713-599-0280,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000394,Seeberger Architecture,"2555 Central Parkway, Houston, Texas 77092",832-831-3410
Hydrate IV,TABS2025000390,Hydrate IV,"9821 NORTH FREEWAY, FORT WORTH,  TX 76177, Fort Worth, TX 76177",Tarrant,10/1/2024,11/30/2024,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Finish out of an existing tenant space.,"1,373 ft 2",Hamenti Patel,"9821 NORTH FREEWAY, FORT WORTH, Texas 76177",(248) 231-1009,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000390,MB STUDIO,"10440 E. Northwest Highway Suite 301, Dallas, Texas 75238",(214) 534-5038
Alliance Chesser Boyer Bldg A Spec Office,TABS2025000388,Alliance Chesser Boyer Bldg A,"2917 Chesser Boyer Rd., Bldg A Suite 200, Fort Worth, TX 76111",Tarrant,10/21/2024,1/31/2025,"$250,000",New Construction,"This project is privately funded, on private land for private use.",Build-out of a speculative office within an existing shell building.,"2,314 ft 2","Chesser Boyer Venture, LP","820 Gessner Road Suite 200, Houston, Texas 77024",713-599-0280,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000388,Seeberger Architecture,"2555 Central Parkway, Houston, Texas 77092",832-831-3410
TX220020 Southlake (Shopcore Park Village),TABS2025000360,Electrify America EVCS,"1035 East Southlake Boulevard, Southlake, TX 76092",Tarrant,11/1/2024,12/30/2024,"$200,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Construct/Install new EV Charging facility to include dispenser and power units in existing parking lot.,"1,500 ft 2",Fifth Corner,"2045 State Highway 249 Suite 810, Houston, Texas 77070",(713) 751-2313,"Brian Powers (agent for Electrify America, LLC)",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000360,,,
Sandman Hotel Reconstruction,TABS2025000353,Waggoner Building Hotel,"810 Houston Street, Fort Worth, TX 76102",Tarrant,9/19/2024,10/31/2025,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Reconstruction of the Basement, Ground, and Mezzanine floors including floor slabs, interior walls, ceilings. Patch and repair work to exterior architectural elements and interior finishes.","13,000 ft 2",Northland Properties,"1755 W. Broadway, Suite 310, Vancouver, BC V6J 4S5",(604) 730-6645,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000353,"Merriman Anderson Architects, Inc","300 North Field Street, Dallas, Texas 75202",214-347-7077
Summer Moon Coffee HQ,TABS2025000314,Summer Moon Coffee HQ,"715 Commerce St., Southlake, TX 76092",Tarrant,10/1/2024,5/1/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Commercial office/warehouse interior remodel,"5,970 ft 2",Southlake Commerce Business Park LLC.,"PO Box 998, Fort Worth, Texas 76101",(817) 966-0633,Greg Richardson,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000314,Walp Concepts,"10202 Sweetwater Lake Ct., Cypress, Texas 77433",(281) 914-1839
USOnTX Arlington,TABS2025000313,Arlington MOB,"515 Mayfield Rd, Suite 101, Arlington, TX 76014",Tarrant,9/30/2024,1/7/2025,"$2,300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of existing cancer treatment center - new restrooms, new flooring, new lights/ceiling grid.","17,761 ft 2","MOB 77 of Texas, L.P.","3000 Meridian Blvd, Franklin, Tennessee 37067",(214) 461-2305,Lisa Miseles-Huff,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000313,RS&H,"4835 LBJ Freeway, 700, Dallas, Texas 75244",469-857-7721
DFW5E - Parking lot Sealcoat and striping,TABS2025000304,"Aero DFW III, L.P. - DFW5E","2417 North Support RD, Dallas, TX 75261",Tarrant,9/5/2024,10/31/2024,"$90,575",Renovation/Alteration,"This project is privately funded, on private land for private use.",Sealcoat and repaint pavement markings,"195,547 ft 2","Aero DFW III, L.P.","201 West Street, Annapolis, Maryland 21401",(443) 321-2627,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000304,,,
THR Alliance Nuc Med Equipment Replacement,TABS2025000296,THR Harris Methodist Hospital Alliance,"10864 Texas Health Trail, Fort Worth, TX 76244",Tarrant,10/1/2024,1/13/2025,"$560,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Replacement of Nuc Med Equipment 407 sqf,407 ft 2,THR Harris Methodist Hospital Alliance,"10864 Texas Health Trail, Fort Worth, Texas 76244",(214) 345-6151,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000296,HKS Inc,"1227 W. Magnolia Suite 200, Fort Worth, Texas 76104",682.382.3103
