project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
BSW Grapevine Admin Suite Reno,TABS2026002553,Baylor Scott & White Medical Center - Grapevine,"1650 W College St, Grapevine, TX 76051, Grapevine, TX 76051",Tarrant,10/15/2025,11/18/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","150SF OFFICE RENOVATION. FINISHES, NEW WALL PARTITION.",150 ft 2,Baylor Medical Center at GPV,"301 N Washington Avenue, Dallas, Texas 75243",1-214-865-2700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002553,,,,
25078 - Northlink TI,TABS2026002545,Building C,"15300 N Link Drive, Fort Worth, TX 76131",Tarrant,10/3/2025,12/1/2025,"$350,000",New Construction,"This project is privately funded, on private land for private use.",Construction of a Demising Wall in an existing industrial shell building,"668,031 ft 2",HRUS Alliance Phase II,"2800 Post Oak Blvd Suite 4800, Houston, Texas 77056",(214) 803-3438,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002545,RGA Architects Inc.,"301 S. Oak Street Suite 100, Roanoke, Texas 76262",(817) 430-3382,
"Tesla - Forth Worth, TX",TABS2026002541,Tesla,"8996Tehama Ridge Parkway, Fort Worth, TX 76120",Tarrant,10/20/2025,12/31/2026,"$160,000",New Construction,"This project is privately funded, on private land for private use.",electrical infrastructure,120 ft 2,"Tesla, Inc","3500 Deer Creek Road, Palo Alto, California 94304",(504) 812-7053,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002541,"Tesla, Inc.","129 Gerbera Street, Danville, California 94506",(949) 285-6177,
Michael's Keys Office Renovation,TABS2026002536,Michael's Keys,"1313 Karla Dr., Hurst, TX 76053",Tarrant,10/13/2025,11/21/2025,"$84,840",Renovation/Alteration,"This project is privately funded, on private land for private use.",Second floor renovations to existing office space,"2,519 ft 2",MK Corp LLC,"1313 Karla St., Hurst, Texas 76053",(817) 581-8992,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002536,SDG Architects,"5619 Kavanaugh Blvd., Little Rock, Arkansas 72207",580.798.0373,
WALMART #0266 FASHION TEST 2.0,TABS2026002531,WALMART,"1601 W STATE HWY 114, Grapevine, TX 75061",Tarrant,10/10/2025,10/17/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",* IMPLEMENT FASHION TEST 2.0 * STAIN BAND CHANGE * SHOES WILL MOVE FROM CURRENT (2) LOCATIONS ON BACK WALL TO (1) LOCATION AT THE STAIN BAND AREA * STORE OF THE FUTURE INITIATIVE INCLUDING DISPLAYS & LIGHTING * RELOCATE FITTING ROOMS ,"20,528 ft 2",WALMART STORES TEXAS LLC,"PO BOX 8050, BENTONVILLE, Arkansas 72716",(479) 277-0654,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002531,pb2 architecture + engineering,"4886 W. PAULINE WHITAKER PKWY #200, ROGERS, Arkansas 72758",(479) 877-6963,
Building Addition for Versacor Managed Pest Solutions,TABS2026002521,Versacor,"485 Cherry Lane, Southlake, TX 76092",Tarrant,12/15/2025,6/15/2026,"$2,124,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Addition to existing building,"7,801 ft 2","Cherry Lane Properties, GP, Inc.","485 Cherry Lane, Southlake, Texas 76092",(214) 868-7074,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002521,PlacesMade Architecture,"2840 Keller Springs Rd Suite 503, Carrollton, Texas 75006",(214) 868-7074,
DFW Airport Energy Plaza Renovation,TABS2026002506,Energy Plaza,"2375 North International Parkway, Grapevine, TX 76051",Tarrant,10/1/2025,1/1/2026,"$2,200,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Renovation of 850sf of interior space comprised of a new control room for the utility plant and a supporting break area.,850 ft 2,City of Fort Worth,"PO Box 612008, DFW Airport, Texas 75261",682-554-2166,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002506,Gensler,"5005 Greenville Ave, Dallas, Texas 75206",214-273-1601,
Alcon FWN Line 23,TABS2026002470,Alcon FWN Manufacturing,"6201 South Freeway, Fort Worth, TX 76134",Tarrant,10/20/2025,3/19/2027,"$5,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation within existing pharmaceutical manufacturing facility to create new cleanrooms and associated support spaces to accommodate new production equipment.,"10,500 ft 2",Alcon Research LLC,"6201 South Freeway, Fort Worth, Texas 76134",(817) 568-6216,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002470,EwingCole,"100 North 6th Street, Philadelphia, Pennsylvania 19106",(215) 625-4491,
Wildwood Creek Interior Office Renovation,TABS2026002427,Main Facility,"820 Dove Loop Road, Grapevine, TX 76051",Tarrant,11/1/2025,1/14/2026,"$284,734",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation of office and amenity spaces (leasing office, manager and assistant manager's offices, workroom, kitchen/lounge, club room, fitness room, confeerence room, corridors, public restrooms, mail room, unit entries)","5,662 ft 2",Wildwood Creek LLC,"4582 S Ulster Street Pkwy Ste. 1200, Denver, Colorado 80237",(813) 748-1753,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002427,,,,
121 Commerce Center Remote Toilet,TABS2026002415,121 Commerce Center,"1800 State Highway 121 Suite 101, Grapevine, TX 76051",Tarrant,11/1/2025,1/15/2026,"$190,000",New Construction,"This project is privately funded, on private land for private use.",Construction of a remote toilet to comply with the travel distances for full building user,107 ft 2,GTIS Highway 121 SPE LP,"GTIS Partners, LLC 787 Seventh Ave. 50th Floor, New York, New York 10019",(281) 216-0051,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002415,,,,
