project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
PALETAS,TABS2026019206,PALETAS,"3112 PLUMWOOD ST #STE. 100, Fort Worth, TX 76111",Tarrant,1/1/2027,1/1/2028,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL ,800 ft 2,PLUMWOOD STREET MANAGEMENT LLC,"8345 EAGLE MOUNTAIN CIRC, FORT WORTH, Texas 76135",(682) 365-0587,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019206,
LOS TACO HS,TABS2026019205,LOS TACO HS,"3112 PLUMWOOD ST #STE. 120, Fort Worth, TX 76111",Tarrant,1/1/2027,1/1/2028,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL ,"1,200 ft 2",PLUMWOOD STREET MANAGEMENT LLC,"8345 EAGLE MOUNTAIN CIRC, FORT WORTH, Texas 76135",(682) 365-0587,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019205,
FACADE REMODEL,TABS2026019204,FACADE REMODEL,"3112 PLUMWOOD ST, Fort Worth, TX 76111",Tarrant,1/1/2027,1/1/2028,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",EXTERIOR REMODEL ,"2,000 ft 2",PLUMWOOD STREET MANAGEMENT LLC,"8345 EAGLE MOUNTAIN CIRC, FORT WORTH, Texas 76135",(682) 365-0587,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019204,
Cowtown Dental,TABS2026019189,Cowtown Dental,"504 Bailey Ave., Fort Worth, TX 76107",Tarrant,5/20/2026,8/19/2026,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel of Dental office,"2,677 ft 2",Cowtown Property Group,"504 Bailey Ave, Fort Worth, Texas 76107",(786) 578-1884,Urban Bobcat Architects,"601 Bailey Ave SUITE 200, Fort Worth, Texas 76107",(817) 909-8686,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019189,
"HighRidge Church Addition, Rolling Hills",TABS2026019182,HighRidge Church,"10100 Rolling Hills Dr, Fort Worth, TX 76126",Tarrant,5/20/2026,5/20/2027,"$2,800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","7221 sf classroom and indoor play area addition, 1751 sf covered drive through, 3151 sf remodeled area.","12,123 ft 2",HighRidge Church Inc,"10100 Rolling Hills Dr, Fort Worth, Texas 76126",817-301-3476,Elevate Urban Design,"2950 Golfing Green Ct., Burleson, Texas 76028",682-229-3377,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019182,
A New Field Maintenance Dispatch - Equipment Storage Facility for Meacham Airport,TABS2026019180,A New Field Maintenance Dispatch - Equipment Storage Facility for Meacham Airport,"504 NW 35TH STREET, Fort Worth, TX 76106",Tarrant,7/1/2026,7/1/2027,"$5,500,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","The Project consists of the new construction of approximately 14,076 sf. of industrial and office with Warehouse and Business occupancies. The new construction includes a single-story Warehouse and a single-story office space with a breakroom, restro","14,076 ft 2",City of Fort Worth,"100 Fort Worth Trail, Fort Worth, Texas 76102",817-392-7836,Schwarz-Hanson Architects,"2627 Tillar Street, Suite 131, Fort Worth, Texas 76107",(817) 377-3600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019180,
Ascendant FW I-35 GLC Building 3 Spec Office,TABS2026019169,Building 3,"12000 South Freeway, Fort Worth, TX 76028",Tarrant,7/1/2026,9/30/2026,"$646,241",Renovation/Alteration,"This project is privately funded, on private land for private use.",New spec office in existing concrete tilt-wall shell,"4,330 ft 2",FW I-35 LOGISTICS 2 LLC,"3500 Colgate Ave., Dallas, Texas 75225",(214) 912-4215,Downs Design Solutions,"801 East Campbell Rd, Richardson, Texas 75081",(214) 724-6656,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019169,
Cotton On,TABS2026019146,Grapevine Mills Mall,"3000 Grapevine Mills Pkwy Suite#431, Grapevine, TX 76051",Tarrant,7/27/2026,10/26/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation to existing retail space for new Cotton On store location, scope will have MEP’s and Arch","3,581 ft 2",GRAPEVINE MILLS MALL LIMITED PARTNERSHIP,"PO Box 6120, Indianapolis, Indiana 46206",(469) 240-5782,CESO,"2012 W. 25TH STREET SUITE 200, CLEVELAND, Ohio 44113",614.942.3018,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019146,Michelle Marek
New Drive Thru Coffee Stand,TABS2026019143,7 Brew Drive Thru Coffee,"770 Grapevine Highway, Hurst, TX 76054",Tarrant,7/15/2026,9/15/2026,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.","Drive thru coffee stand w/ walk in cooler, dry storage and awnings cover 1728 sf","1,728 ft 2","Lowe's Home Centers, Inc","1000 Lowe's Blvd, Mooresville, North Carolina 28117",704-758-4738,GBC Design Inc,"565 White Pond Drive, Akron, Ohio 44320",(330) 836-0228,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019143,Kari Keller
Sylvania Project,TABS2026019132,Anchor Therapy,"412 N Sylvania Ave, Fort Worth, TX 76111",Tarrant,5/18/2026,10/18/2026,"$2,300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","RENOVATION OF EXISTING 10,000 SF. RENOVATION TO INCLUDE BUILDING INTERIOR AND MINOR EXTERIOR  MODIFICATIONS. BUILDING TO BE A MULTI-TENANT OFFICE BUILDING. RENOVATION TO INCLUDE FULL ","10,000 ft 2",ARMIS HOLDINGS LLC,"3009 RACE ST, Fort Worth, Texas 76111",6-82--553-7282,Studio Mas Architects,"10440 E NW Hwy,, Dallas, Texas 75238",214-669-4684,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019132,
TRADER JOE'S #412,TABS2026019118,TRADER JOE'S,"3020 MATLOCK ROAD, Mansfield, TX 76063",Tarrant,12/1/2026,3/1/2027,"$900,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","INTERIOR BUILD OUT FOR A RETAIL GROCERY STORE TO INCLUDE NEW SALES FLOOR, BACK OF HOUSE, EMPLOYEE BREAKROOM WITH RESTROOM AND DEDICATED CUSTOMER RESTROOMS ...","12,505 ft 2","ALBERT ENTERPRISES, LLC.","14114 DALLAS PARKWAY, DALLAS, Texas 75254",(214) 483-0400,BMF+ASSOCIAATES,"2106 E. NAPA PLACE, ANAHEIM, California 92806",(714) 883-7715,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019118,DAVE MELANSON
ROSE COURTURE NAIL BAR,TABS2026019114,ROSE COURTURE NAIL BAR,"1741 E DEBBIE LN #STE. 120, Mansfield, TX 76063",Tarrant,9/1/2026,9/1/2027,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",TENANT FINISH OUT ,"3,500 ft 2",SCSD-FINNELL,"14114 DALLAS PKWY #STE. 670, DALLAS, Texas 75254",(214) 483-0400,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019114,TINH NGUYEN
GateGourmet Catering Kitchen,TABS2026019099,Mustang Crossing,"1741 Mustang Ct/2100 Mustang Drive, Southlake, TX 76092",Tarrant,7/1/2026,12/20/2026,"$11,117,640",Renovation/Alteration,"This project is privately funded, on private land for private use.","Place Catering Kitchen within existing warehouse, 73,098 sq ft","73,098 ft 2","Southlake Mustang Owner, LP","2021 McKinney Ave, Suite 300, Dallas, Texas 75201",(770) 652-2273,MCA Architects,"812 SW Washington Street, Suite 800, Portland, Oregon 97205",503-226-0622,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019099,Greg Derick
