project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Medical Device Company,TABS2026019842,551 Winscott Road,"551 Winscott Road, Benbrook, TX 76126",Tarrant,11/2/2026,10/29/2027,"$10,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation to existing building, includes partitions per new layout, MEP engineering.","47,000 ft 2",Urgo Medical North America,"100 LEXINGTON ST STE 400, Fort Worth, Texas 76102",(214) 794-3270,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019842,,,,
DFW Innovation AVP Office,TABS2026019790,DFW Headquarters,"2400 Aviation Drive, Dfw Airport, TX 75261",Tarrant,5/18/2026,7/31/2026,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation to existing office space.,800 ft 2,DFW International Airport,"2400 Aviation Drive, DFW Airport, Texas 75261",(817) 733-1741,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019790,Kirt Carr,HOK,"717 N. Harwood St., Suite 2850, Dallas, Texas 75201",(214) 231-5837
26062 - MPI TI @ Box 107th,TABS2026019789,26062 - MPI TI @ Box 107th,"1145 107th Street, Arlington, TX 76011",Tarrant,6/1/2026,10/1/2026,"$900,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The work will add 4,945 square feet of office finish -out space to  the existing speculative office . ","4,945 ft 2","Box 107 Investors, LLC","921 East Waggoman Street, Fort Worth, Texas 76110",(214) 538-1886,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019789,,RGA Architects Inc.,"301 S. Oak Street Suite 100, Roanoke, Texas 76262",(817) 430-3382
4608 Warehouse,TABS2026019779,4608 Warehouse,"4608 Fairlane, Fort Worth, TX 76119",Tarrant,5/18/2026,7/10/2026,"$69,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Addition of a rated firewall and coiled rolling doors,"2,000 ft 2",FIVF-IV-TX3 LLC dba Faropoint,"111 River Street Suite 1010, Hoboken, New Jersey 07030",(214) 498-2375,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019779,,OnWorks LLC,"5010 Addison Circle, Addison, Texas 75001",(972) 824-7710
LUCID Private Offices,TABS2026019764,Hillwood Commons II,"9900 Hillwood #300, Fort Worth, TX 76177",Tarrant,6/15/2026,11/12/2026,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office space in high rise building,"21,196 ft 2",HW Commons 2 LTD,"9800 Hillwood Pkwy Suite 300, Fort Worth, Texas 76177",(817) 224-6000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019764,Chelsea Bascom,Go Studio,"1201 Main Street #1370, Dallas, Texas 75202",214-420-4646
Watson Branch Phase 2 - Single Family,TABS2026019760,Watson Branch,"Watson Branch Lane, Mansfield, TX 76063",Tarrant,5/20/2026,6/14/2027,"$85,000",New Construction,"This project is privately funded, on private land for private use.","New single family residential with street pavement, sidewalk & ramp, storm, and utilities. Area totaling 9500 square feet)","9,500 ft 2","GRBK Edgewood, LLC","5501 Headquarters Drive, Suite 300W, Plano, Texas 75024",972-310-4545,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019760,,"Grantham & Associates, An LJB Company","2600 North Central Expressway, Suite 100, Richardson, Texas 75080",469.990.8869
BLP-Wash MLS,TABS2026019733,BLP Grand Prairie,"2750 S Great  Southwest Pkwy Bldg B, Grand Prairie, TX 75052",Tarrant,7/1/2026,12/1/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","15,600sf interior finish out in an existing industrial shell space with office approx 2200 sf and warehouse13400sf","15,600 ft 2",BLUSV GSW Parkway LLC,"111 E Sego Lily Dr, Suite 400, Salt Lake City, Utah 84070",(972) 482-0457,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019733,,Method Architecture,"2921 E. 17th St,Unit B, Suite 200, Austin, Texas 78702",(512) 478-0970
The Standard Indoor Golf Club,TABS2026019723,306 E NW PCTC 2025,"306 E Northwest Highway, Grapevine, TX 76051",Tarrant,6/1/2026,10/1/2026,"$436,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The renovation o a 4,529 sf shell space into an indoor golf simulation facility","4,529 ft 2",Wright 430 Main LLC,"601 W Wall Street, Grapevine, Texas 76051",(940) 390-9563,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019723,Eric Pearce,Cross Timbers Architects,"4315 Windsor Centre Trail Suite 400, Flower Mound, Texas 75028",972-355-7754
Rustic Cowboy,TABS2026019692,Park Vista Business Park,"5970 Park Vista Cir. #100, Keller, TX 76244",Tarrant,5/29/2026,8/28/2026,"$155,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Minor remodeling of an existing A-2 occupancy to accommodate new tenant concept. ,"8,000 ft 2","Blackhorse Projects A, L.P.","415 Azle Hwy, Weatherford, Texas 76085",(214) 549-4495,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019692,Heather Brown,Studio HMA,"411 Lexington Ln, Richarsdon, Texas 75080",(469) 463-4845
El Tapatio,TABS2026019684,El Tapatio Meat Market Inc,"1412 Brown Trail, Bedford, TX 76022",Tarrant,8/24/2026,8/25/2026,"$900,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Additions to existing building ,"10,449 ft 2",El Tapatio Meat Market Inc,"4344 Mesa Dr, Carrollton, Texas 75010",(806) 930-5198,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019684,,DWC Builders LLC,"1128 Glade Rd Suite 160, Colleyville, Texas 76034",(817) 713-6770
