ProjectNumber,FacilityName,City,County,TypeOfWork,EstimatedCost,ProjectStatus,ProjectId,DataVersionId,ProjectName,ProjectCreatedOn,EstimatedStartDate,EstimatedEndDate,URL
TABS2026024452,NORTH HILLS HOSPITAL,1455,2220,9001,500000.0,3008,872f7409-1b52-419e-9abc-e2b96cf17e4d,900001,NORTH HILLS HOSPITAL OR1,2026-07-03T10:14:14.577,2026-08-01T00:00:00,2027-01-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024452
TABS2026024451,N/A,606,2220,9002,550000.0,3008,f30b67cc-d3d7-4ff7-824f-55f786862e10,900001,Jersey Mike's Fort Worth,2026-07-03T09:55:34.663,2026-08-17T00:00:00,2026-09-21T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024451
TABS2026024441,Haltom Shipping Warehouse,718,2220,9002,200000.0,3008,e2ab7b08-a1ac-41d6-afca-f9b757cc2cd8,900001,Haltom Shipping Warehouse Tenant Improvement,2026-07-02T18:06:49.79,2026-09-10T00:00:00,2026-12-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024441
TABS2026024415,Baylor All Saints Medical Center MOB II,606,2220,9002,774000.0,3008,b8617762-5759-4c15-a527-0913afa7b870,900001,Baylor Scott & White Urology 125,2026-07-02T15:21:56.1,2026-07-06T00:00:00,2026-10-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024415
TABS2026024410,Baylor All Saints Medical Center MOB II,606,2220,9002,120000.0,3008,93879311-08e6-45a2-99b8-0080213e1f96,900001,Baylor Scott & White Urology 105,2026-07-02T15:11:53.22,2026-07-06T00:00:00,2026-10-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024410
TABS2026024396,Pat May Center,118,2220,9002,150000.0,3008,aab846ce-c5f9-46c9-8f12-8d9cf1bdea7d,900001,Kitchen Remodel,2026-07-02T13:59:17.117,2026-07-15T00:00:00,2026-10-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024396
TABS2026024370,FOREST HILL SHOPPING CENTER,592,2220,9002,50000.0,3008,7d5e6ee4-d45d-4141-8d6d-e41129d6aa45,900001,Forest Hill,2026-07-02T11:23:31.51,2026-07-15T00:00:00,2026-08-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024370
TABS2026024367,Texas Star Conference Center & Golf Course,552,2220,9002,250000.0,3008,1886b36a-6e41-4f59-9563-0b1a0967d5d7,900001,Texas Star Conference Center - Front porch Enclosure,2026-07-02T11:07:05.75,2026-06-01T00:00:00,2026-08-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024367
TABS2026024353,White Castle,606,2220,9001,2100000.0,3008,99b2706c-4da3-401c-91e6-60c33333996d,900001,White Castle Fort Worth - New Build,2026-07-02T09:54:07.543,2027-01-04T00:00:00,2027-04-16T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024353
TABS2026024346,POB 2,606,2220,9002,500000.0,3008,fa982edd-79d5-4685-b2a3-9efb6c3127ba,900001,Wylie Spine & Sports,2026-07-02T09:21:33.5,2026-08-17T00:00:00,2026-11-09T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024346
TABS2026024334,The Vineyards,606,2220,9002,350000.0,3008,bfcdc5fa-6cd2-4fe7-8e0b-58542b7463bb,900001,AssetLiving-Sako & Partners,2026-07-01T18:06:24.02,2026-07-06T00:00:00,2026-08-03T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024334
TABS2026024296,RCCG GRACE CHAPEL,686,2220,9002,304700.0,3008,ee4ccb0e-9893-43b5-ba8f-111ddd1c3242,900001,Kumasi Supermarket,2026-07-01T14:29:41.383,2026-07-30T00:00:00,2026-11-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024296
TABS2026024290,N/a,718,2220,9002,254000.0,3008,4e8ec858-f4c5-4062-9e78-1b46b17f4523,900001,Meadow Oaks Drive Improvements,2026-07-01T14:06:57.587,2026-09-01T00:00:00,2027-09-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024290
TABS2026024288,MARKET AT GATEWAY,118,2220,9001,279675.0,3008,5ebc54a3-aa08-43ae-8f7b-26573fa294f0,900001,NOTHING BUNDT CAKES,2026-07-01T13:39:22.153,2026-08-17T00:00:00,2026-11-16T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024288
TABS2026024271,Everman Building 3,606,2220,9001,200000.0,3008,0b3c2245-2c5b-496d-8ccb-d93595dfa88e,900001,201 West Everman TI,2026-07-01T12:14:39.703,2026-07-25T00:00:00,2026-10-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024271
TABS2026024224,Chica San Chen,718,2220,9002,200000.0,3008,b5ccf61f-eef6-4901-adc2-d02b1c41d66d,900001,Chica San Chen,2026-06-30T17:35:02.477,2026-08-03T00:00:00,2026-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024224
TABS2026024223,Ryan Company,606,2220,9002,619976.0,3008,9852b6d6-1219-4531-b155-bdb0ca934386,900001,Ryan Company,2026-06-30T17:25:17.21,2026-08-01T00:00:00,2027-02-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024223
TABS2026024204,26090 – Jorstin Tenant Improvements,606,2220,9001,140000.0,3008,b074bfd8-77b6-42df-b865-98f00e262ef9,900001,26090 – Jorstin Tenant Improvements,2026-06-30T16:05:23.993,2026-06-30T00:00:00,2026-09-29T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024204
TABS2026024189,Alliance Gateway 34,606,2220,9001,7402500.0,3008,677eacbc-5f83-4186-9e02-de28d5921559,900001,Mach Office TI at Alliance Gateway 34,2026-06-30T14:41:12.713,2026-07-21T00:00:00,2026-12-09T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024189
TABS2026024187,MAS CAFE TEXAS,606,2220,9002,650000.0,3008,ee4d4f0d-969b-4449-9c6e-ac2ece60249b,900001,MAS CAFE TEXAS,2026-06-30T14:29:30.237,2026-07-06T00:00:00,2026-11-06T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024187
TABS2026024034,Tesla EV Charging Station,552,2220,9001,148000.0,3008,1e575704-b8f3-4c41-ad26-2039a7167a7a,900001,"Tesla Supercharger - Euless, TX",2026-06-29T12:07:54.393,2026-09-30T00:00:00,2027-09-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024034
TABS2026023989,Foxlink Texas,606,2220,9002,4000000.0,3008,1341af9a-dd09-4b66-97b0-0aca4cd0701b,900001,Foxlink TX Phase 2.1,2026-06-29T01:38:13.287,2026-07-27T00:00:00,2026-10-02T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023989
